מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2017 - מועד א',פוטון באורך גל nm670 נקלט בעליו של צמח. מה נכון:,ייווצר ATP ו NADPH כי PSI קולט אורך גל עד 700nm,ייווצר רק מפל פרוטונים בריכוז נמוך יותר,האלקטרונים יקלטו רק בPSII וייווצר מפל פרוטונים חלש יותר,לא תיתכן קליטת אלקטרונים לnm680 במרכז הריאקציה,,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',מה נכון לגבי ההבדל בין צמחי C4 ו C3:,צמחי C4 יגיעו לרוויה בקיבוע CO2 יותר מהר,צמחי C4 הם בעלי נקודת קומפנסציה גבוהה יותר,צמחי C4 יבצעו קיבוע CO2 בריכוזים גבוהים יותר של CO2 מאשר צמחי C3,בעוצמות גבוהות של אור; צמחי C3 מקבע CO2 טוב יותר,צמחי C3 צריכים יותר אנרגיה לקיבוע CO2 כי הם חסרים את אנזים PEP,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',מה המשפט הנכון לגבי הקשר בין פוטוסינתזה לנשימה התאית?,פוטוסינתזה משתמשת באותו המסלול הביוכימי כמו הנשימה תאית רק בצורה הפוכה,פוטוסינתזה היא תהליך קטבולי ונשימה תאית אנאבולי,פוטוסינתזה אוצרת אנרגיה במולקולות אורגניות ונשימה משחררת אנרגיה האצורה במולקולות אורגניות,נשימה מתרחשת רק בחיות; פוטוסינתזה רק בצמחים,פוטוסינתזה מתרחשת רק באאוקריוטים ונשימה תאית מתרחשת באאוקריוטים ופרוקריוטיים,,3,כימיה של החיים,,,
שחזורים 2017 - מועד א',מה נכון לגבי גוף ביולוגי שנמצא במצב של שיווי משקל?,אין לו יכולת לבצע עבודה,האנרגיה הקינטית שלו שווה ל0,הוא צורך אנרגיה במצב של שיווי משקל,הוא פולט אנרגיה במצב של שיווי משקל,,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',איזה מהפעולות הבאות לא כלולה בKelvin cycle?,חימצון של NADPH,פליטת O2,"זרחון ע""י ATP",שחזור של RuBP,,,2,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',אדם נושם סיבי אסבסט שנכנסים לתאים בתהליך של פאגוציטוזה. באיזה אברון סיבים אלו מתפרקים?,מיטוכונדריה,ריבוזום,ליזוזום,פרוקסיזום.,,,3,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה נכון לומר לגבי תהליך שעובר הcdk במיטוזה?,מזרחן לחלבון בכניסה לפאזה G1,פעילותו משתנה לאורך המעגל,הוא מזרחן את עצמו,הוא עובר שינוי טרנספורמציה,הוא עובר חמצון,,4,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',איפה נוצרים חלבונים מלבד הריבוזומים החופשיים והE.R?,גרעין התא,כלורופלסט,גולג'י,פרוקסיזום,תווך בין תאי,,2,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',Pi וADP משמשים כמקור אנרגטי להנעת תהליכים קטבוליים,ATP משמש כמתווך להעברת אנרגיה מתהליך קטבולי לפעילות תאית,תהליכים קטבוליים משחררים ישירות אנרגיה לפעילות תאית,ADP הינה מולקולה אורגנית עתירת אנרגיה,,,,1,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',איזה מוטציה צפויה להפחית את הולכת הסיגנל של רצפטור טירוזין קינאז?,שמחליפה שיירי טירוזין בפניל אלנין בשייר הציטוזולי של הרצפטור,הפחתה של אנדוציטוזה של הרצפטור והסעתו לליזוזומים,שמפחיתה את משיכת הRTK לחלבוני פוספטאז,הגברה של הדימרציה,שמגבירה את קישור הRTK ל ATP באופן יעיל יותר לרצפטור,,1,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה נכון לגבי פעילות משאבת אלקטרונים בתא?,זרחון של המשאבה מגביר את הזיקה שלה לNa+,דה-פוספורילציה של המשאבה מחלישה את הזיקה ל K+,מוציאה יוני Na+ החוצה על ידי קשירת ATP,קישור של מולקולת ATP משחרר K+ מהתא,מכניסה יוני Na+ לתא על ידי קשירת ATP,,3,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',"איזה מהתהליכים הבאים מתרחשים בקישור של מולקולת סיגנל אפינפרין לרצפטור ע""י חלבון G ( GPCR)?",זירוז החלפת GDP בGTP עי Adenylyl cyclase,הידרוליזה של ATP לADP עי Adenylyl cyclase,הפיכה של GDP לGTP עקב קשירת Adenylyl cyclase לחלבון G,הפיכה של ADP לATP על גבי חלבונים בתא עקב נוכחות של Adenylyl cyclase,קישור של cAMP להפעלת PKA,,5,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה נבדק בשלב הM-checkpoint?,תרגום RNA,שלמות מעטפת הגרעין,קשירת מיקרוטובולי לכרומוזומים,שכפול DNA,קשירת סיבי אקטין,,3,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מתי מתרחשת חלוקה בלתי תלויה של כרומוזומים הומולוגיים? Law of independent assortment,בחלוקה ראשונה של מיוזה 1,במיטוזה ובחלוקה במיוזה 2,במיטוזה ובחלוקה במיוזה 1,במיוזה 2 בלבד,,,1,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה מאפיין את תהליך האפופטוזיס ביצורים רב תאיים?,התהליך קורה רק במחלה,עיבוד פרוטאוליטי (Proteolytic Cascade) של קספז,שמירה על המורפולוגייה התאית,תוכן התא נשפך החוצה ומשפיע על תאים שכנים,,,2,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה מאפיין סיגנל המועבר פרקרינית?,קשר פיזי בין התאים,דיפוזיה של מולקולת סיגנל,קשירה של ליגנד הידרופובי,קולטן המגיב לרצפטורים תוך תאיים,חלוקת החומר הציטופלזמטי בין התאים,,2,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה לא נכון לגבי תאים פרוקריוטיים?,יש להם ריבוזומים,יש להם מיטוכונדריה,יש להם ממברנה תאית,יש להם רשת אנדופלסמית (Endoplasmic Reticulum),יש להם דופן,תשובות 2+4 נכונות,6,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה מבין הבאים הוא דוגמא לאנרגיה פוטנציאלית אבל לא קינטית?,מולקולת גלוקוז,חיפושי שזוחלת בחיפוש אחר מזון,גחלילית שמפיצה אור,מים שנופלים במפלי הניאגרה,,,1,כימיה של החיים,,,
שחזורים 2017 - מועד א',מה מאפיין את שלב הG0?,יש סינתוז של DNA (שכפול) ויש סינתוז של mRNA (שעתוק),אין סינתוז של DNA ויש סינתוז של mRNA,אין סינתוז mRNA ויש יצירת חלבונים,אין סינתוז של mRNA ואין תרגום לחלבונים,,,2,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',מה מאפיין רצפטורים של הורמונים (כמו אלדסטורון וטסטוסטרון,לא מסיס במים,יכולים להיקשר לRNA ומשפיעים על התרגום,יכולים להיקשר לDNA ומשפיעים על השעתוק,חוצה ממברנה,,,3,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',בשיעור הראשון בגנטיקה למדנו על גנטיקה ואינפורמציה. על פי סידני ברנר; כיסא אינו יצור חי מכיוון ש:,כיסא לא זז,לא כל הכיסאות דומים. יש הרבה כיסאות שונים,כיסא לא מגיב עם הסביבה; לא מתקן את עצמו אם נשבר,כיסא אינו כולל בתוכו הוראות פנימיות לשכפול עצמי,,,4,גנטיקה,,,
שחזורים 2017 - מועד א',יצור מבצע רבייה מינית. הגן E אחראי לצבע העיניים והגן N לאורך הצוואר. הגנים לא בתאחיזה. הגנוטיפ של הייצור הוא EeNn. מה נוכל למצוא בגמטה של היצור?,EeNn,Ee,EN,N,,,3,גנטיקה,,,
שחזורים 2017 - מועד א',איזה מהדוגמאות הבאות היא דוגמא לפוליגניות שמשתנה עקב מגע עם הסביבה?,אינטליגנציה של בנאדם,מורפולוגיה של אפון,צבעו של פרח,סוג דם,,,1,גנטיקה,,,
שחזורים 2017 - מועד א',בניסוי הזבובים של מורגן התקבלו צאצאים בדור F1 עם עיניים אדומות ורק לזכרים עיניים לבנות. מה אפשר ללמוד מכן?,הגן מקושר לכרומוזום Y,הגן הינו אוטוטרופי,הגן מצומד לכרומוזום X,הגן הינו גן דומיננטי אבל משפיע רק על זכרים,,,3,גנטיקה,,,
שחזורים 2017 - מועד א',נתון כי המרחק בין שני גנים על כרומוזם הוא 15; מה זה אומר?,15% מהצאצאים יעברו ריקומבינציה לגן,יש מרחק של 15 נוקלאוטידים בינהם,הגנים לא בתאחיזה,ישנו מרחק של 15 ננומטר בין הגנים,,,1,גנטיקה,,,
שחזורים 2017 - מועד א',מה מאפיין הכלאה מונוהיברידית (monohybrid) לעומת הכלאה דוהיברידית (dihybrid)?,הכלאה מונוהיברידית מערבת הורה אחד והכלאה דיהברידית שני הורים,הכלאה מונוהיברידית היא לדור אחד והכלאה דיהיברידית היא לשני דורות,בהכלאה מונוהיברידית ההורים הטרוזיגוטיים לגן אחד ובדיהיברידית ההורים הטרוזיגוטיים לשני גנים,היצור מסוגל להתרבות ברבייה א-מינית,,,3,גנטיקה,,,
שחזורים 2017 - מועד א',גבר שנושא אלל מסויים על כרומוזום X שלו יוריש אותו ל:,כל בנותיו,חצי מבנותיו,כל בניו,כל צאצאיו,,,1,גנטיקה,,,
שחזורים 2017 - מועד א',מי מהבאים אחראי על התגלית הבאה? כמות הT=A וכמות הG=C,רוזלין פרנקלין,נוני מוזס,הרשי וצ'ייס,ארווין שרגרף,סידני ברנר,,4,גנטיקה,,,
שחזורים 2017 - מועד א',כיצד הפנוטיפ של דור F1 תמיד הראה את אחד מהפנוטיפים של דור ההורים(P0),?,?,?,אחד האללים היה דומיננטי,,,4,גנטיקה,,,
שחזורים 2017 - מועד א',מה מהבאים מאפיין תאים פרוקריוטים ואינו קיים באאוקריוטים?,טלקינזיס,פוליאדנילציה,תורשה כרומוזומלית,שחבור (Splicing) של הRNA,צימוד ישיר בין שעתוק לתרגום,תרגום של הRNA לחלבונים מחוץ לגרעין.,5,ביולוגיה של התא,,,
שחזורים 2017 - מועד א',ברבייה שהראתה פנוטיפים שונים מההורים Incomplete dominance:,הפנוטיפים של ההורים הם הטרוזיגוט והומוזיגוט,משהו על זה שזה נדיר אז המדענים התעלמו מזה,?,?,,,1,גנטיקה,,,
שחזורים 2017 - מועד א',מה התופעה באברציה כרומוזומלית בה חתיכה מכרומוזום אחד עברה לכרומוזום אחר,deletion,inversion,duplication,טרנסלוקציה,,,4,גנטיקה,,,
שחזורים 2017 - מועד ב',כדי להבין את תהליך התורשה; עלינו להבין את מבנה הדנא. משפט זה מסמל איזה עקרון בביולוגיה?,Reductionism,תכונות מתגלות (Emergant Properties),וויסות משוב (Feedback Regulation),אבולוציה,,,1,כללי,FALSE,,
שחזורים 2017 - מועד ב',מה ההבדל בין תיאוריה להיפותזה?,תיאוריה מסמלת רעיון כללי והיפותזה היא רעיון נקודתי,היפותזה מסמלת רעיון כללי ותיאוריה היא רעיון נקודתי,תיאוריה מוכחת הופכת לאמת מדעית; היפותזה מוכחת הופכת לתיאוריה,אין הבדל בין תיאוריה להיפותזה,,,1,כללי,FALSE,,
שחזורים 2017 - מועד ב',בבדיקת דימות ((mri נעשה שימוש באיזוטופים לא רדיואקטיביים כמו C13. מה ההבדל בינו לבין C12?,מספר שונה של פרוטונים,מספר שונה של אלקטרונים,תשובות א+ב,אף אחת מהתשובות אינה נכונה,,,4,כימיה של החיים,TRUE,,
שחזורים 2017 - מועד ב',מבנים פחמימנים (Hydrocarbons) מסוגלים לבצע:,קשרי מימן,קשרי פחמן,קשרי ואן דר ואלס,קשרים יוניים,,,3,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',חומצות שומן מורכבים מ:,פחמן בלבד,פחמן ומימן בלבד,פחמן; מימן וחמצן בלבד,פחמן; מימן; חמצן וחנקן בלבד,,,3,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',פפטידים בנויים מ:,חומצות אמינו,חומצות גרעין,סוכרים,ליפידים,,,1,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',גליצרולים; פחמימות וחלבונים מתפרקים בתהליך של,דהידרציה,הידרוליזה,דגנרציה,גליקוליזה,,,2,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',סמן את המשפט הנכון על המולקולה H2O,האלקטרונגטיביות של האטום המרכזי גבוהה משל המימנים,האלקטרונגטיביות של האטום המרכזי נמוכה משל המימנים,האלקטרונגטיביות של האטום המרכזי זהה לזו של המימנים,לא ניתן לדעת,,,1,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',מולקולת מים מסוגלת לבצע בעיקר:,קשרי מימן,קשרי פחמן,קשרים יוניים,קשרי ואן דר ואלס,,,1,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',במים נוזליים; מולקולת מים מסוגלת לבצע עד:,קשר מימן 1 עם מולקולת מים אחרת,2 קשרי מימן עם מולקולת מים אחרת,3 קשרי מימן עם מולקולת מים אחרת,4 קשרי מימן עם מולקולת מים אחרת,,,4,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',הקבוצה הבאה- OH- נקראת:,קבוצת פוספט,קבוצת מתיל,קבוצת דיסולפהידריל,קבוצת הידרוקסיל,,,4,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',מה נכון לגבי אננטיומרים?,מסה מולקולרית שונה ונקודת התכה שונה.,מסה מולקולרית שונה ונקודת התכה דומה.,מסה מולקולרית דומה ונקודת התכה דומה.,מסה מולקולרית דומה ונקודת התכה שונה.,,,3,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',המבנה השניוני של החלבון בנוי מ:,קשרי מימן,קשרי ואן דר ואלס,קשרים יוניים,קשרים קובלנטיים,,,1,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',אדהזיה היא:,קשרים קובלנטיים בין מולקולות דומות,קשרים לא קובלנטיים בין מולקולות דומות,קשרים קובלנטיים בין מולקולות שונות,קשרים לא קובלנטיים בין מולקולות שונות,,,4,כימיה של החיים,FALSE,,
