מושגים,אנגלית,משמעות,נושא,,,,
קשר קולמנטרי,,"ישנו קישור ספציפי בין שני בסיסי חנקן של כל נוקלאוטיד. יש חיבור בין A-T ובין C-G. בRNA, במקום A-T כיוון שאין את T ה-A נקשר ל- U.  חיבור A-U.",,,,,
מבנה פולרי,,"קוטבית כאשר קוטב אחד במולקולה טעון חיובי והאחר שלילי, קורה כאשר אחד היסודות במולקולה (בעל יותר פרוטונים) מושך את האלקטרונים. קורה בעקבות קשר קוולנטי פולרי",כימיה - אודי גזית,,,,
קשר ואן דר ואלס,Van Der Waals,קשרים הנוצרים כתוצאה מקשרים בין קטביים חשמליים כאשר אין קטביים קבועים חיוביים או שליליים,כימיה - אודי גזית,,,,
קשר יוני,,"מבוסס על משכיה חשמלית בין מטענים מנוגדיםץ
נוצר בין שני יונים בעלי מטען שווה ונגדית קשר עם מולקולה בעלת מבנה פולריֿ, חיבור עם הצד הנגדי",כימיה - אודי גזית,,,,
קשר מימן,, מקרה פרטי של קשרים בין מולקולות קוטביות. קשר בו יש משיכה בין קוטב שטעון חיובית במולקולה אחת לקוטב שטעון שלילי במולקולה אחרת. ,כימיה - אודי גזית,,,,
יחידות מונמריות,,"אבני בניין פשוטות כגון : חומצות אמינו, נוקלאוטידים",כימיה - אודי גזית,,,,
דינרים,,שתי יחידות מונמריות מחוברות יחדיו,כימיה - אודי גזית,,,,
פולימר,,שרשרת של מונמרים ( אבני בניין) דומים זה לזה שמתחברים בקשרים קוולנטיים ויוצרים את הפולימר,כימיה - אודי גזית,,,,
מקרו מולקולות (מבנים מולקולריים),,"מבנים העשויים מאלפי מולקלות, בנויים מאבני בניין פשוטות אשר קשורות בקשרים קוולנטים. הם בעצם פולימריים הבנויים מיחידות מונמריות
לדוגמה DNA",כימיה - אודי גזית,,,,
סופרא-מולקולות,,מבנים העשויים מכמה מולקולות שקשורות אחת את השניה לא בקשרים קוולנטים. מכיל כמה/ הרבה פולמריים המחוברים ביניהם בקשרים לא קוולנטים,כימיה - אודי גזית,,,,
קשר כימי מקוטב,,אין חלוקה זהה של האלקטרונים,כימיה - אודי גזית,,,,
אלקטרו-שליליות,,"היכולת של אטומים מסוימים ""למשוך"" אליהם את האלקטרונים, לחלק מהזמן. ",כימיה - אודי גזית,,,,
קוהיזיה,,אינטרקציה בין מולקלות דומות בקשרי מימן,כימיה - אודי גזית,,,,
אדהזיה,,אינטרקציה בין חומרים שונים,כימיה - אודי גזית,,,,
שכבת מים,,מים שמקיפים מולקולה אחרת וזזים איתה כעשיתי מולקולות עם תמיסת מים מתחברות הרבה מולקולות מים משתחררות לתמיסה,כימיה - אודי גזית,,,,
מיום,,שכבת מים סביב מולקולה בתוך התמיסה המימית,כימיה - אודי גזית,,,,
קוהסיביות,,היכולת של נולקולות המים להיקשר ( קשר מימן) אחת לשניה לפעמים לאורך עשרות מטרים,כימיה - אודי גזית,,,,
יונים,,יסוד טעון,כימיה - אודי גזית,,,,
קטיון/אניון,,יון טעון חיובי/יון טעון שלילי,כימיה - אודי גזית,,,,
חומרים הידרופיליים,,"אוהבי מים, עם זיקה למים.
יכולים ליצור קשר מימן עם המים, או שהם טעונים",כימיה - אודי גזית,,,,
חומרים הידרופביים,,שונאי מים,כימיה - אודי גזית,,,,
ריבוזום,,מבנה סופרא מולקולרי,כימיה - אודי גזית,,,,
ויטאליזם,,הרעיון שיש משהו מיוחד בחיים המאפשר לייצר את המנים האלו רק ביצורים חיים,כימיה - אודי גזית,,,,
פחמימנים,,"מבנים המורכבים מפחמן ומימן בלבד, קשר לא פולרי בעל אלקטרו שליליות מאוד גבוהה, הידרופביים",כימיה - אודי גזית,,,,
איזומרים,Isomers,"חומרים בעלי אותה נוסחה מולקולרית אבל עם מבנה שונה, גורם לתכונות שונות",כימיה - אודי גזית,,,,
איזומרים מבניים,,"איזומרים עם סידור קוולנטי שונה, הסתעפויות שונות. שוני בתכונות הכימיות, ביולוגיות ופיזיקליות",כימיה - אודי גזית,,,,
איזומרים ציס וטרנס,Cis-Trans Isomers,"קיים קשר כפול וסביבו אותם קשרים קוולנטים אך סדר שונה. תכונות כימיות, ביולוגיות ופיזיקליות שונות
כאשר צדדים מנוגדים - טרנס, אותו צד-ציס",כימיה - אודי גזית,,,,
אננטיומרים,Enantiomers,"איזומרים בסדר שהוא תמונת ראי אחדים לשני, זהים בתכונות הפיזיקליות והכימיות, שונים בתכונות הביולוגיות",כימיה - אודי גזית,,,,
קבוצות פונקציונליות,,דרכים בהם אפשר לשנות חומרים אורגניים בצורה מינורית ובכך לשנות את התכונה שלהם בצורה משמעותית.,,,,,
הידרוקסילית ,Hydrxyl - OH,"קבוצה פונקציונלית.
מכילה חמצן ומימן, הופכת פחממן לאלכוהול, תמיסה הומוגנית בהמסה במים",כימיה - אודי גזית,,,,
קרבונילית,carbonyl C=O,"קבוצה פונקציונלית.
פחמן שקשור בקשר כפול לחמצן ויכול להיות קשור או למימן ויקרא אלדאיד או רק לקבוצה ויקרא קטון",כימיה - אודי גזית,,,,
קרבוקסילית,carboxyl COOH,"קבוצה פונקציונלית.
פחמן שקשור בקשר כפול לחמצן ועוד חמצן שקשור למימן. מתחלק לשני מקרים:
1. מבנה בו החמצן בעל 6 אלקטרוני הערכיות החיצוניים קושר קשר יחיד לפחמן מצד אחד וקשר יחיד למימן מהצד השני וע""י זה משלים את הרמה החיצונית האלקטרונית. 
2. החמצן באופן קבוע (לא ע""י שיתוף) מקבל אלקטרון מה-מימן. המימן משתחרר למים ונקבל תופעה של ריכוז יוני מימן גבוהה במים דבר המוביל לטעם החמוץ (חומצה).
היכולת של חומר לשחרר פרוטון לתוך התמיסה הוא חומר חומצי. ",כימיה - אודי גזית,,,,
אמינית,Amino Group NH2,"קבוצה פונקציונלית.
כל החומצות האמיניות במבנה זה, אשר מהווה את מבנה החלבונים. 
1) יש לנו קשר קוולנטי . חנקן בעל חמישה אלקטרוני ערכיות, קשור לקבוצה מסוימת וקשור גם לשני אטומי מימן וע""י כך משלים את הרמה החיצונית שלו. אבל גם  
2) יכול להפוך לצורה בעלת מטען חשמלי . הוא מקבל מימן טעון חיובי (יון) מהמים (בכך הופך לחומר בסיסי) ויכול לעבור למצב של יצירת מבנה של יון מולקולרי בו החנקן קשור ב-4 קשרים ובעל מטען חיובי ( בגלל הפרוטון שקיבל)
",כימיה - אודי גזית,,,,
סולפידרילית/ תיול,sulfhydryl group - SH,"קבוצה פונקציונלית.
אטום גופרית בקשר עם מימן, נמצאת בחלבונים כקבוצת צד.
במצב מחומצן קבוצת החלבונים זורקת את המימן ושני אטומי הגופרית נקשרים זה לזהץ כך מקבלים מולקולה חדשה שונה באופייה, כל תכונותיה משתנות והמבנה מוחזק על ידי קשרים קוולנטים אינטרומולקולריים.
הגופרית ידוע כ״שדכן״ של הבע, כי מחברת מולקולות",כימיה - אודי גזית,,,,
פוספט,phosphate group ,"קבוצה פונקציונלית.
זרחן שקשור לחמצנים, יש לו חשיבות במבנים נוקלאוטידיים ושל ATP. תורמת למטען השלילי במולקולה. כשמוצמד למולקולה מקנה לה היכולת להגיב עם מים, בפליטת אנרגיה(קשר עתיר אנרגיה)",כימיה - אודי גזית,,,,
מטילית,methyl group,"קבוצה פונקציונלית.
בקרה על ביטוי מידע גנטי. תוספת שלה ב-DNA(מתילציה) יכול להשתיק הפעלת גן מסוים, משפיע על הצורה והפעילות של הרמוני מין, מההורמון הנשי לגברי",כימיה - אודי גזית,,,,
קשרים דיסלופידים/ אינטרומולקולריים,,קשרים בין מולקולות בתוך המולקולה,כימיה - אודי גזית,,,,
דהידרציה,,שחרור של מולקולת מים כתוצאה של יצירת קשר כימי בין מולקולות,כימיה - אודי גזית,,,,
הידרוליזה,,פירוק קשר של מולקולות  שבו נכנסת מולקולת מים,כימיה - אודי גזית,,,,
פחמימות,carbohydrates,"משמשות כדלק וחומר, מחלוקות לשלושה סוגים:
1) חד סוכר- הבסיסי ביותר, מבנה של פחמן+מים (CH2O), מולקולה הידרופילית.החד סוכר הנפוץ ביותר הוא הגלוקוז. ניתן לסווג את החד סוכרים לפי המיקום של החומצה
הקרבונילית ולפי מספר הפחמנים הקיימים בשרשרת
המולקולרית.
2) דו-סוכרים - חיבור שני חד סוכרים בקשר קוולנטי גליקוזידי
3) פולו-סוכרים(רב סוכר) - עשרות אלפי מולקולות סוכר, פולימרית כאשר המנומר שלה הוא סוכר. משמשים כמקור לאנרגיה וגם לתפקוד מבני, קשורים זה לזה בקשר גליקוזידי.",כימיה - אודי גזית,,,,
אלדוזות,aldoses,"סוכרים המכילים קבוצה אלדהידית- כלומר קבוצה קרבוניל שמצד אחד יש איזשהו קבוצה, ומהצד השני יש מימן. נציג הקבוצה הזו הוא בדרכ הגלוקוז. ",כימיה - אודי גזית,,,,
קטוזות,ketoses,"הקבוצה הקרבונילית היא קבוצה קטוזית, כלומר, יש פחמן עם קשר כפול לחמצן, ומשני צידיו יכולות להיות קבוצות שונות ומגוונת. הנציג המוכר לנו לקבוצה זו הוא פרוקטוז (סוכר הפרות)",כימיה - אודי גזית,,,,
ליפידים,lipids,"סטרואידים, שומנים או פוספליפידים, לא פולימרי, ולא מססים( או כמעט ולא מססים במים)",כימיה - אודי גזית,,,,
,,,,,,,
,,,,,,,
אנומרים,Anomers,"מולקולות דומות, שסביב איזשהו מרכז קיראלי (אטום היכול להיות במצבים של שתי תמונות ראי) נקבל ארגון המתייחס לכיווניות אחת או לשניה. כאשר יש קבוצות כימיות נוספות , אין תמונת ראי.",כימיה - אודי גזית,,,,
אפימירים,,אנומרים בפרט ספציפי,כימיה - אודי גזית,,,,
עמילן,,"רב-סוכר הבנוי כולו ממנומרים של גלוקוז. צמחים מייצרים את העמילן כחומר דלק לעצמם.הפקעת המשמשת לגידול הצמח, מספקת לצמח המנץ את מקורות האנרגיה השונים. העמילן באורנתציה דומה לכל אורכו. 
העמילוז, בכלל לא מסועף. לחלק יש רמת סיעוף מסוימת אבל נמוכה מאשר של הגליקוגן.",כימיה - אודי גזית,,,,
גליקוגן,Glycogen,"מקור לאנרגיה זמינה. בני האדם משתמשים בטכניקה דומה לצמחים לאגירת אנרגיה לטווח הקצר. אנחנו , בע""ח, יוצרים מבנה הנקרא גליקוגן בו שומרים עודף אנרגטי- בכבד ורקמות השריר.  הגליקוגן הוא מבנה מסועף יחסית .בליבו, יש חלבון המאגד את המבנים המונומרים. ובשביל צריכת אנרגיה לטווח הקצר אפשר להשתמש בסוכרים הנאגרים שם (במידת הצורך, מונומרים של גלוקוז משתחררים)",כימיה - אודי גזית,,,,
אננטיומרים מסוג D,,משנה את קיטוב האור לצד ימין,,,,,
אננטיומרים מסוג L,, משנה את קיטוב האור לצד שמאל.,,,,,
סטרואידים,,"מולקולות המכילות גרעין סטרואידי אשר בנוי מ-4 טבעות פחמניות קבועות.
אינם פולימרים ומטרתם היא פעילות בקרה",כימיה - אודי גזית,,,,
שומנים,,"הידרופוביים, פולימריים, יכולים לשמש לאגירת אנרגיה ולשימושים מבניים.
מולקולת שומן מורכבת מגליצרול(3 פחממנים) + חומצות שומן(בין אחת לשלוש)",כימיה - אודי גזית,,,,
שומן רווי,,"רוויות במימנים, מצב בו אין אף קשר כפול בין המולקולות",כימיה - אודי גזית,,,,
שומן בלתי רווי,,כאשר יש לפחות קשר כפול אחד במולקולה,כימיה - אודי גזית,,,,
הידרוגנציה ,,תהליך של הפיכת שומנים לא רווים לשומנים רווים על ידי הוספת מימן,כימיה - אודי גזית,,,,
גליצרול,,מולוקולה אורגנית עם 3 חומצות OH,כימיה - אודי גזית,,,,
טריאצילגליצרול,,טריגליצרידיםת גלירצרול שנקשר ל3 חומצות שומן,כימיה - אודי גזית,,,,
פוספוליפידים,,"עשויים משתי חומצות שומן וקבוצת פוספט ומחוברים לגליצרול. ראש הידרופילי ושתי זנבות הידרופוביות, ממברנת התא מורכבת מפוספליפידים עם מבנים נוספים",כימיה - אודי גזית,,,,
מולקולה כּיראלית,Chirality,"מולקולה שלא ניתן ליצור חפיפה בינה ובין תמונת המראה שלה באמצעות סיבוב במרחב. לתכונה זו של מולקולות מסוימות, הנובעת מהיעדר סימטריית שיקוף פנימית, קוראים כּיראליות (Chirality).
יכולות לשנות את קיטוב האור, לימין או לשמאל",כימיה - אודי גזית,,,,
פוליפפטדים,," פולימר של חומצות אמינו המחוברות אחת לשניה בקשר לא מסועף. תמיד שרשרת אחת לא מסועפת. כאשר השרשרת יכולה לבצע פעילות ביולוגית, נקרא לה חלבון",,,,,
חלבונים,,"קבוצה של פולמרים,  הבנויים מחומצות אמינו, בנויים מצד חומצי הנוטה לתת מימן חיובי(פרוטון) למים, וצד בסיסי הנוטה לקבל. יכול להיות פוליפפטיד הכיול לבצע פעילות ביולוגית, וכן חיבור של פוליפפטידים.
הפעילות השונה בחלבון תלויה בקיפול שלו(הדרך בה החלבון מתארגן לצורה תלת מימדית מוגדרת)",כימיה - אודי גזית,,,,
,,,,,,,
,Side chain - R,אחת מ-20 האפשרויות שיכולות להיות קבוצה צדדית,כימיה - אודי גזית,,,,
קבוצה הידרופובית,,"אחת מקבוצות ה-R, לא פולרית, בנויה מפחמן ומימןת ישנן מוקלקולות בהן יש מעט צד פולרי ההופך אותן למעט הידרופוליות, אבל הן מעטות",כימיה - אודי גזית,,,,
קבוצה הידרופלית,,"אחת מקובוצת ה-R, מכילה קשרים פולריים, יכולה ליצור קשרי מימן עם המים, הידרופילית",כימיה - אודי גזית,,,,
קבוצות הידרופיות טעונות,,"אחת מקובוצת ה-R, הידרופיליות בעלות מטען חשמלי",כימיה - אודי גזית,,,,
קצה קרבוקסילי ,carboxyl end,החלק בחלבון שמתחיל בקרבוקסיל,כימיה - אודי גזית,,,,
קצה אמיני,amino end,החלק בחלבון שמתחיל באמין,כימיה - אודי גזית,,,,
מבנה ראשוני,,מה הוא רצף החומצות האמינו,כימיה - אודי גזית,,,,
מבנה שניוני,,"מבנה של מבנים שטוחים וסלילים שיכולים להיווצר ע""י רצף חומצות האמינו, המבנים מיוצבים על ידי קשרי מימן",כימיה - אודי גזית,,,,
, α helix ,"מבנה שניוני, של סליל בו קשרי המימן הם בין חומצות אמיניות סמוכות יחסית – חומצה אמינית ראשונה קשורה לחמישית, השנייה לשישית וכן הלאה",כימיה - אודי גזית,,,,
,  β pleated sheets ,"מבנה שניוני, בלוקים, אחד על השני, ובין השרשראות
קיימים קשרי מימן בין חומצות אמינו (לא בהכרח סמוכות)



 ",כימיה - אודי גזית,,,,
מבנה שלישוני,,"הרמה השלישיונית היא קשרים שנוצרו בין השרשרות ויצרו מבנה תלת מימדי מסודר במרחב. המבנה התלת מימדי נקבע על ידי המבנים של הסידור השניוני


",כימיה - אודי גזית,,,,
מבנה רבעוני,,"המבנה הרבעוני לא קיים בכל חלבון אך כשהוא
קיים הוא יקיים קשרים נוספים מורכבים ביותר בין
הסלילים השונים שקבלנו. הקשרים בין המבנים כאן אינם קוולנטיים.


",כימיה - אודי גזית,,,,
תהליך דה-נטורציה ,,"לוקחים חלבון במבנה מקופל ועל ידי חימום, שינוי ב-PH או שינוי בריכוז המלחים מעבירים אותו למצב בו אין לו את המבנים המוכרים של החלבון.",כימיה - אודי גזית,,,,
תהליך רה-דנטורציה,,"התהליך ההפוך לדה-נטורציה.
חשוב לציין כי בטבע לא ניתן לעשות תהליך זה",כימיה - אודי גזית,,,,
רצפטורים,,"הם חלבונים שיכולים לקשור אליהם גורם אחר, ביוטי או א-ביוטי, ולגרום לפעילות מסויימת. 
רצפטורים נמצאים בדר""כ במעטפת החיצונית של התא, וזו הדרך שלו לדעת מה קורה סביבו ריכוז מלחים, תאים אחרים, שינוי בחומציות וכו.",כימיה - אודי גזית,,,,
חלבונים הורמונליים,,"חומר שיכול לתת הוראה כלשהי לגוף להתנהג בצורה מסוימת.
הורמונים הוא שם פונקציונלי -מתאר פעילות, לא מבנה. (יכולים להיות גם הורמונים של חלבונים, חלבונים קצרים, מולקולות קטנות או סטרואידים)",כימיה - אודי גזית,,,,
אינזימים,,"יכולים לקחת ריאקציה שתתקיים בכל זאת אבל הם מזרזים אותם. אם באופן ספונטני הייתי לוקחת שנה בעזרת האנזימים תוכל להתבצע בשניה. 
האנזים  לא חד-פעמי. ",כימיה - אודי גזית,,,,
חלבונים מבניים,,"נותנים מבנה, שלד, מעין פיגומים לתאים. כמו קולגן וקרטין (שיער, נוצות)
חלבונים כמו אלסטין- בעלי גמישות.",כימיה - אודי גזית,,,,
חלבונים היכולים לנוע,,"יכולים לקחת אנרגיה כימית ולהפוך אותו לאנרגיה מכנית. אלו החלבונים המאפשרים לנו לנוע.  לאפשר כיווץ שרירים, ותנועה ברמת התא עצמו. ",כימיה - אודי גזית,,,,
קולגן,,"בנוי רק ממבנים סלילים (שהם יותר חזקים בגלל קשרי המימן הנמצאים בין הקשרים עצמם) לכן הוא החלבון הנפוץ ביותר, מאפשר חוזק מכני של הרקמות. מבנה שמזכיר חבל. Triple helix. ",כימיה - אודי גזית,,,,
עמילואיד,,"משקע בלתי מסיס של חלבון המופיע במספר רב של מחלות. קורה כאשר המבנה של החלבון עובר התקפלות מסוימת ושוקעיםת המשקע הזה נקרא עמלואיד לאחר מכן מולקולות חלבון נוספות נקשרות אל העמלואיד והוא נהפך לסיב.
מעורב בתופעות רבות המשויכות לזקנה",כימיה - אודי גזית,,,,
חומצת גרעין,,"פולימרית כאשר המנומר שלה הוא נוקלאוטיד.
מחולק לשתי חומצות עיקריון ה-DNA וה- RNA",כימיה - אודי גזית,,,,
DNA,,"מולקולת ענק הבנויה כשרשרת של נקלאוטידים, המכילה את כל המידע התורשתי הדרוש לבניית חלבונים בתא אצל כל האורגניזמים הידועים. ייחודי לכל אורגניזם.
בנוי בצורת סליל כפולת ונותן אינפורמציה כדי לייצר RNA",כימיה - אודי גזית,,,,
RNA,,"מולקולה פולימרית, המורכבת מיחידות של נוקלאוטידים. ל-RNA תפקיד מרכזי במגוון תהליכים ביולוגים, בתהליכי תורשה, ביטוי ותרגום של המידע הגנטי.
 לרוב RNA מצוי בטבע במבנה של גדיל בודד. עם זאת, גם ב-RNA ייתכן זיווג בסיסים, מה שמביא להיווצרות מבנים שניוניים בגדיל.  יכול גם לשמש כאנזים- כקטליזטור של פעילות כימית. ",כימיה - אודי גזית,,,,
ביטוי גני,, התהליך בו המידע שמופיע ב-DNA ועובר ל-RNA ומשם לחלבון,כימיה - אודי גזית,,,,
,Ribose,"מולקולת הסוכר המרכיבה את הנקולאוטיד המשמש אבן בסיס ל-RNA
סוכר זה הוא פחממה ",כימיה - אודי גזית,,,,
,Deoxyribose,מולקולת הסוכר המרכיבה את הנקולאוטיד המשמש אבן בסיס ל-DNA. חסר קבוצת חמצן לעומת ה- ribose,כימיה - אודי גזית,,,,
tRNA,,"מולקולת עזר בסינתזת החלבונים. תפקיד ה-tRNA הוא להתאים את חומצות האמינו, שהן אבני הבניין של החלבונים, על פי הקוד הגנטי",,,,,
מטבוליזם,metabolizam,"כל התהליכים המתרחשים בגוף, כל הריאקציות הכימיות. המטבוליזם מתרחש לפי חוקי התרמודינמיקה(שני החוקים הראשונים) , האנרגיה החופשית (free energy) , ואנזימים",אנרגיה של החיים - עדי אבני,,,,
אנתרופיה, entropy,אי סדר,אנרגיה של החיים - עדי אבני,,,,
מטבולומיקס,,חקר המולקולות הקטנות בתא - המטבוליטים.,אנרגיה של החיים - עדי אבני,,,,
מסלול המטבוליזם,Metabolic pathway,"המעבר של מטבולים מתוצר אחד לאחר דרך ראקציות שונות שמבוצעות על ידי אנזימים ספציפיים המשמשים לפירוק או ייצור תרכובות. קיימים גם מסלולים מטבוליים מנוגדים, עם זאת המסלולים המנוגדים לא פוגעים בתהליך של המסלולים הקלאסיים(מנגנונים שכנראה התפתחו אבולוציונית)",אנרגיה של החיים - עדי אבני,,,,
קטבוליזם,Catabolic pathway,רצף של תהליכים מטבוליים אשר מפרקים מולקולות גדולות. תהליכים אלו כוללים פירוק וחמצון של רכיבי התזונה. מטרת התגובות הקטבוליות היא הפקת אנרגיה ואספקת המרכיבים הדרושים לתהליכים אנאבוליים.,אנרגיה של החיים - עדי אבני,,,,
מסלול אנאבולי,Anabolic pathways,מסלול בו נשקיע אנרגיה כדי ליצור חומר חדש מורכב יותר,אנרגיה של החיים - עדי אבני,,,,
אנרגיה פוטנציאלית,,אנרגיה שנמצאת בחומר ותאפשר לו לבצע עבודה אם תשוחרר,אנרגיה של החיים - עדי אבני,,,,
אנרגיה כימית,," צורה של אנרגיה פוטנציאלית . יש לנו קשרים בין המולקולת השונות, פירוק והרכבה של הקשרים השונים  יכולה לשחרר או לצרוך אנרגיה. נדרשת לבניית המסלולים הביוסינטטים",אנרגיה של החיים - עדי אבני,,,,
החוק הראשון של התרמודינמיקה,,האנרגיה היא קבועה בכל היקום ואי אפשר להרוס אותה או ליצור אותה מחדש,אנרגיה של החיים - עדי אבני,,,,
החוק השני של התרמודינמיקה,,"בזמן מעברי אנרגיה תמיד יש איבוד של אנרגיה, לרוב אנרגיית חום. בכל גוף, הגוף שואף להגיע לאנרגייה הנמוכה ביותר וכך גם כל מערכת נפרדת שרוצה להגיע למצב של שיווי משקל.",אנרגיה של החיים - עדי אבני,,,,
מערכת סוגרה/ פתוחה,," מערכת המבודדת מהסביבה, כל מה שמתרחש, מתרחשת בה",אנרגיה של החיים - עדי אבני,,,,
מערכת פתוחה,,"כמו מערכת הגוף- משהו נכנס משהו יוצא, מערכת פתוחה לעולם לא תגיע לשיווי משקל מלא",אנרגיה של החיים - עדי אבני,,,,
ראקציה ספונטנית/ אקסרגונית,Exergonic,"ריאקציה המתרחשת בלי השקעה של אנרגיה. 
תהליך ספונטני← גורם לכך שהאנרגיה החופשית יותר נמוכה וכך היציבות של המערכת עולה.",אנרגיה של החיים - עדי אבני,,,,
"המשוואה של גיבס
",,,אנרגיה של החיים - עדי אבני,,,,
ריאקציה,,נוצרת בעזרת שבירה או יצירה של קשרים.,אנרגיה של החיים - עדי אבני,,,,
ריאקציה אנדוגנית,Endergonic,ריאקציה שיש להפעיל אנרגיה להפעלתה,אנרגיה של החיים - עדי אבני,,,,
הריאקציה של גיבס,,"מתי ריאקציה תהיה ספונטנית או לא ? ניתן למדד לפי השינוי באנרגיה החופשית:
  𝐺∆ חיובית לא ספונטנית, צריך להשקיע אנרגיה.
𝐺∆ שלילית ספונטנית, לא צריך להשקיע אנרגיה
G=O שיווי משקל. ",אנרגיה של החיים - עדי אבני,,,,
אנרגית האקטיבציה/ שפעול,,האנרגיה ההתחלתית שיש להפעיל על מנת להתחיל תהליך לכל תהליך יש את אנרגיית השפעול שלו,אנרגיה של החיים - עדי אבני,,,,
אנזים,,"זרז ביולוגי, נקשר לחלבונים ומזרז תהליכים. כל אנזים יתאים לזירוז תהליכים שונים ויפעל בזמנים
משתנים לפי כל תהליך. האנזימים פעילים בתנאי הסביבה
המתאימים להם ולכן אם אורגניזם יתקיים במקו ם עם סביבה
שלא מתאימה לו הוא לא יוכל להעזר באנזימים ולא יוכל
להתקיים. האינזימים לא משנים את ה-𝐺∆ אלא רק יסייעו במעבר בין המגיבים לתוצרים. מורידים את אנרגיית השפעול.
בנוסף, אינזימים משמשים גם לצורך בקרה",אנרגיה של החיים - עדי אבני,,,,
סובסטרט,,"החלבון המגיב, הנקשר לאינזים",אנרגיה של החיים - עדי אבני,,,,
סובסטרט קומפלקס,,המבנה של האנזים המגיב יחד עם הסובסטרט,אנרגיה של החיים - עדי אבני,,,,
הצד הפעיל,The active side,מקום בו יש הכרה ספציפיות בין האנזימים למגיבים שלהם. האזור האקטיבי של האנזים מאפשר למולקולות מסוימים להיכנס - מולקולות הקשורות לתהליך אותו הוא מזרז. ,אנרגיה של החיים - עדי אבני,,,,
אבולוציה של אנזימים,,קיימים אנזימים שונים שמבצעים את אותה הפעילות אך בתנאי סביבה שונים (לדוגמה בטמפ׳ שונה),אנרגיה של החיים - עדי אבני,,,,
מעכבים,,יעכבו את פעילות האנזימים כך שהראקציה לא תוכל להתרחש,אנרגיה של החיים - עדי אבני,,,,
מעכב תחרותי,,"יכולות להיות סוגים שונים של מולקולות להם יהיה מבנה דומה למבנה של המגניב והוא יתקשר לאתר הפעיל של האנזים והמגיב לא יוכל להגיע לשם ולכן הוא לא יוכל לפעול יותר . המעכב ""מתחרה"" על האתר הפעיל של האנזים. ולמעשה, מה שיקבע מי ""ינצח"" תלוי בריכוז של כל אחד מהם והאפיניות של כל אחד לאנזים . אם נגדיל את ריכוז המגיב- נוכל ""לשחרר"" את המעכב התחרותי והאנזים יתחיל לפעול מחדש. (בדרך זו נוכל לבקר תהליכים שונים בתאים- מה האפיניות או מה חוזק הקישור)",אנרגיה של החיים - עדי אבני,,,,
מעכב לא תחרותי,,"שיקשר למקום אחר באנזים ויגרום לכך שהאנזים ישנה את צורתו ולא יאפשר את
קישור המגיב שלו לסובסטרט. רוב המעכבים שאנו מכירים הם אינם תחרותיים, אין להם תחרות עם
הסובסטרט אך הם לא מאפשרים קישור שלו לאנזים",אנרגיה של החיים - עדי אבני,,,,
ATP,,"הבטריה של החיים . אדנוזים טריי פוספט
הקשרים בין מולקולות הפוספט הם עתירי אנרגיה. ושבירת הקשר היא המקור לאנרגיה בכל התהליכים.
התהליך ← ATP עובר ביקוע ע""י הידרוליזה - הוספה של מולקולת מים. בתהליך משתחררת אנרגיה המשמשת לכל התהליכים הביוכימיים. ",אנרגיה של החיים - עדי אבני,,,,
קונפוקל,,"מיקרוסקופ שנעזר בחומר פלורוסנטי שאם נקרין באורך גל
מסויים הוא יחזיר אורך גל אחר וכך נוכל
להפריד את העצמים בתמונה לפי צבעים
שידגישו אותם.",אנרגיה של החיים - עדי אבני,,,,
