מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2019 - מועד א',".ערכו ניסוי על דגי מים מתוקים בתחילת חייהם ופגעו להם בזימים. קבוצה א' הוכנסו למים במליחות
נורמלית וקבוצה ב הוכנסו למים במליחות נמוכה מהנורמלית. )במהלך המבחן חידדו שנורמלי ביחס
לסביבתם הטבעית - מים מתוקים(. קבוצה א' נשארו בחיים וקבוצה ב' לא. קבוצות ביקורת שלא פגעו
להם בזימים שרדו ב2 הסביבות. מה ניתן ללמוד מתוצאות הניסוי?",בתחילת החיים אין צורך בחמצן.,בתחילת החיים אין צורך באוסמורגולציה.,בתחילת החיים הזימים משמשים לאוסמורגולציה אך לא לנשימה.,בתחילת החיים הזימים משמשים לנשימה ולא לאוסמרגולציה.,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',מה נכון?,הורמונים מסיסים במים צריכים נשאים כדי לעבור בזרם הדם,הורמונים מסיסים בשמן יכולים לעבור בזרם הדם,הורמונים מסיסים בשמן צריכים נשאים כדי לעבור בזרם הדם,"הורמונים מסיסים במים יכולים לעבור בזרם בדם ויקלטו ע""י רצפטורים על הממברנה מכיוון שלא יכולים לחדור אותה",,,4,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',מהו אחד הסיגנלים המשמעותיים ביותר לתזמון של רבייה עונתית ביונקים?,משך הפרשת מלטונין,לבלוב העצים,השתנות עונות השנה והתארכות/התקצרות משך הלילה,הפרשים בטמפרטורה,א+ג נכונות,,5,הורמונים רבייה ואוסמורגולציה,TRUE,,
שחזורים 2019 - מועד א',הפרשה מוגברת של ADH תגרום ליצירה של:,תסנין שתן יותר דליל,אוסמורליזציית המים תהיה נמוכה יותר משל הדם,תסנין שתן יותר מרוכז,,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',עכבר מעבדה עם פגיעה בגרעין SCN במוחו:,יחווה פגיעה בראיה שכן על פני גרעין זה נמצאים הרצפטורים לקליטת אור,יפריש מלטונין בקצב קבוע כמו לפני הפגיעה,יחווה שיבוש בתהליכים היממתיים (צרקדיים) שלו,לא יפגע באיזור ההיפותלמוס,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',מה יקרה אם ביצית שעברה ביוץ לא תעבור הפרייה?,רירית הרחם תתפרק ותנשור,לא יקרה דבר,רירית הרחם תגדל,,,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',מה הסדר הנכון?,"קופסית באומן, צינורית קרובה, לולאת הנלי, צינורית מרוחקת, צינור מאסף","קופסית באומן, לולאת הנלי, צינורית קרובה, צינורית מרוחקת, צינור מאסף","קופסית באומן, לולאת הנלי, צינורית מרוחקת, צינורית קרובה, צינור מאסף","קופסית באומן, צינורית מרוחקת, לולאת הנלי, צינורית קרובה, צינור מאסף",,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',איזו חיה תצפה שיהיה לה תסנין שתן המרוכז ביותר?,חיה אחרת,בן אדם,גרביל מדברי,חתול,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',איזה הורמון פועל ביחד עם אסטרוגן במטרה להכין את הרחם להשתרשות הביצית המופרית?,LH,FSH,פרוגסטרון,GnRH,HCG,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',מה יקרה אם נזריק רעלן שחוסם את תעלות הנתרן תלויות המתח?,"לאחר יצירת פוטנציאל הפעולה, לא תהיה היפר-פולריזציה.",לא תהיה דה-פולריזציה במעבר הסף (threshold). (לא סגור על הניסוח),לא נראה פוטנציאלים מדורגים כלל.,כמות מולקולות הנוירוטרנסמיטרים שישתחררו תגדל.,,,2,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2019 - מועד א',מעוררים באופן מלאכותי ויזום פוטנציאל פעולה באמצע האקסון. לאיזה כיוון ימשיך הסיגנל לזרום?,לא יתעורר פוטנציאל פעולה בכלל (לא יזרום לאף מקום),"יזרום רק במורד האקסון, אל קצה האקסון (axon terminal)",יזרום רק במעלה האקסון אל עקב האקסון (axon hillock),יזרום פוטנציאל פעולה לשני הכיוונים,,,4,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2019 - מועד א',מה לא נכון לגבי מערכת העצבים של ההידרה?,יש לה נוירונים,היא עברה צפליזציה,יש לה דנטריטים,יש לה אקסונים,,,2,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2019 - מועד א',כדי ליצור פעילות הדומה ל (LTP) Long term potentiation,ביטוי ביתר של תעלות אשלגן בתא הפוסט סינפטי,ביטוי ביתר של תעלות נתרן בתא הפוסט סינפטי,עיכוב פעילות תעלות סידן בתא הפוסט סינפטי,הגדלת תעלות אשלגן בתא הפרה סינפטי,,,2,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2019 - מועד א',"כאשר הפוטורצפטורים בעין קולטים אור, המידע מגיע בסופו של דבר לקורטקס. איזה מהמשפטים הבאים נכון?",הרטינל עובר מציס לטרנס,תעלות הנתרן בפוטורצפטורים נפתחות,מתרחש שחרור גלוטומט,רודופסין הופך למצב לא פעיל.,,,1,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2019 - מועד א',המוח קובע את התדר של גל לחץ אוויר על ידי:,קצב הירי בסיב העצב המקבל,זהות הנוירון הסנסורי היורה,טווח השינוי בלחץ האוויר באוזן האמצעית,האמפליטודה של פוטנציאלי הפעולה,,,2,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2018 - מועד א',מה אינו נכון לגבי מערכת החיסון המולדת?,הכרת פתוגן על ידי תאי מערכת החיסון המולדת מובילה ליצירת זיכרון חיסוני בנויטרופילים,"תאי מערכת החיסון המולדת מזהים ""דגמים"" המשותפים לפתוגנים מסויימים (PAMPs)",ל-TLR יש תפקיד חשוב בהפעלת תאי מערכת החיסון המולדת,מערכת החיסון המולדת כוללת תאים אשר עושים פגוציטוזה,,,1,אימונולוגיה,FALSE,,
שחזורים 2018 - מועד א',מה נכון לגבי תאי מערכת החיסון הנרכשת?,תאי B בוגרים נוצרים בבלוטת הטימוס,תאי T בוגרים נוצרים באותו אבר שאליו חדר הפתוגן (למשל עור),גם תאי ה-B וגם תאי ה-T מכירים את האנטיגן לאחר שעבר עיבוד תוך תאי,תאי CTL-P הופכים לתאים אפקטורים בבלוטות הלימפה,,,4,אימונולוגיה,FALSE,,
שחזורים 2018 - מועד א',מה נכון לגבי אנטיגן אנדוגני?,הוא מזוהה על ידי תאים מבטאי CD8,הוא מוצג רק על ידי Professional APC,הוא מוצג על גבי MHC Class II,הוא מזוהה על ידי תאים מבטאי Membrance Immunoglobulim,,,1,אימונולוגיה,FALSE,,
שחזורים 2018 - מועד א',"מה קורה בתהליך ה- Clonal Selection, לאחר שתא T הכיר את האפיטופ הספציפי שלו?",תא ה-T הופך לתא אפקטורי. תא אפקטורי זה מתרבה ויוצר שבט שתאיו זהים.,"תא ה-T משופעל, מתרבה ויוצר שבט שתאיו זהים, ואלו הופכים לתאים אפקטורים או לתאי זיכרון.","תא ה-T משופעל, יוצר תאי זיכרון שכולם זהים, ואלו הופכים לתאים אפקטורים שכולם זהים.","תא ה-T משופעל, מתרבה ויוצר שבט שכל תאיו מכירים את אותו האפיטופ, אך לכל תא TCR שונה.",,,2,אימונולוגיה,FALSE,,
שחזורים 2018 - מועד א',"באיזה אמצעי משתמשים ליצירת ההגנה החיסונית היעילה ביותר, וארוכת הטווח ביותר כנגד פתוגן?",חיסון עם פתוגן מוחלש,חיסון עם פתוגן חי שאיננו מוחלש,חיסון עם נוגדנים כנגד הפתוגן,הזרקה של IL-2 בשעות ראשונות לאחר חדירת הפתוגן,,,1,אימונולוגיה,FALSE,,
שחזורים 2018 - מועד א',HIV גורם לפגיעה חמורה במערכת החיסון הנרכשת כיוון ש,הוא הורג לימפוציטים מבטאי CD4,הוא הורג נויטרופילים,הוא נכנס לתאי B דרך CD4,"הוא גורם לפעילות של תאי CTL, שהורגים את תאי הגוף",,,1,אימונולוגיה,FALSE,,
שחזורים 2018 - מועד א',"בנוגע לדרכי מעבר חום: יושב לו הסטודנט מתן ביום קר באמצע הרצאה בכיתה לא ממוזגת, כאשר זרועו מונחת על משענת היד של הכיסא. החום מועבר:","מגופו למשענת ע""י Radiation","מהכיסא לגופו ע""י Conduction","מגופו לכיסא ע""י Conduction","מגופו לכיסא ע""י Convection","מהכיסא לגופו ע""י Convection",,3,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',איזה מנגנון פידבק הוא הנפוץ ביותר בשמירה על הומאוסטזיס ומדוע?,"חיובי, משום שהוא מגדיל סטיות מ""Set Points""","שלילי, משום שהוא נוטה להשאיר את המערכת ב""Set Points"" \ בטווח מסוים","שלישי, משום שבכך יש הגדלה של תנודות המדידה ולכן מונע מהמערכת להגיע לשיווי משקל","חיובי, משום שבכך יש שמירה על המערכת במצב קבוע למרות תנודות אפשריות מהסביבה החיצונית",,,2,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',"בשנת 2013 חקרה נאסא פיתוח טכנולוגיה חדשה הפועלת על מוח האדם, כך שהוא נכנס למצב של שינה עמוקה, במסגרתה תופחת משמעותית הפעילות המטבולית בגופו. החוקרים הניחו כי אסטרונאוטים יוכלו להכנס למצב זה במשימות חלל ארוכות, וכך יהיה ניתן להקל על עלויות משימות החלל. על איזה עיקרון ביולוגי מתבססת הטכנולוגיה?",Thermoregulation,Acclimatization,Adaption,Torpor,Convection,,4,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',איזה מבין המצבים הבאים יגביר את שיחרור החמצן מתאי הדם האדומים?,ירידה ברמת pH וירידה בלחץ החמצן החלקי ברקמה,ירידה ברמת pH ועלייה בלחץ החמצן החלקי ברקמה,עלייה ברמת pH ועלייה בלחץ החמצן החלקי ברקמה,עליית ברמת pH וירידה בלחץ החמצן החלקי ברקמה,כל התשובות נכונות,,1,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',"בהינתן מיכל המכיל תערובת של גזים X,Y,Z: תרומתו של גז X ללחץ הסופי במיכל מהווה:","את חלקם היחסי של חלקיקי הגז הספציפי מסך החלקיקים במיכל, מתוך הלחץ הכולל","את חלקה היחסי של מסת הגז הספציפי מסך המסה המכיל, מתוך הלחץ הכולל","את חלקם היחסי של חליקי הגז הספציפי ביחד חלקיקי הגזים האחרים, מתוך הלחץ הכולל","אף אחד מבין היחסים הנ""ל",,,1,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',"מדוע חיה יחסית גדולה, לדוגמא צפרדע, דורשת מערכת הובלה, ואילו יצורים קטנים דוגמת תולעי ריסים (Planarian) לא זקוקים למערכת שכזו?",כל תא בגופה של הצפרדע דורש יותר חמצן ונוטריאנטים מכל תא בגופה של התולעת.,תאים של הצפרדע גדולים פי כמה מתאיה של התולעת.,"דיפוזיה איננה יעילה להעברת גזים לאורכו של הגוף ואל תוך איברים כאשר קיים גוף גדול, לעומת זאת, דיפוזיה לבדה אכן מספירה להעברת גזים על ומחוץ גופה הרזה של התולעת.","גזים אינם עוברים דיפוזיה דרך העצמות. לכן כל יצור בעל עצמות, כמו הצפרדע, מחויב בקיום מערכת הובלה. יצורים חסרי עצמות, כמו התולעת, אינם זקוקים למערכת שכזו.",כל התשובות לא נכונות.,,3,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',"הכמות המקסימלית של אוויר שאדם יכול לנשוף, לאחר שאיפה מקסימלית, נקרא",Vital Capacity,Tidal Volume,Residual Capacity,Total Lung Capacity,End Tidal Volume,,1,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',מהו התפקיד של המסתמים הסהרוניים (Semilunar Valves)?,מונעים זרימה חוזרת של דם אל החדרים.,מונעים זרימה חוזרת של דם אל העליות.,מונעים זרימה חוזרת של דם מהחדר לעליה.,מונעים זרימה חוזרת של דם מהלב לריאות.,,,1,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',"בעקבות ________, ההורמון _______________ משתחרר מן ה ___________, נקלט ב ____________ ומגביר את יצור כדוריות הדם האדומות.","ירידה בריכוז החמצן בדם, טרומבין, כליה, תאי אנדותל","ירידה בריכוז החמצן בדם, אריטרופואטין, כליה, עצם","עלייה ברמות pH בדם, פיברין, טחול, עצם","עלייה ברמות pH בדם, מיוגלובין, טחול, תאי אנדותל",,,2,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',איזו מהטענות הבאות נכונה לגבי הסיגנל הנוירואנדוקריני בציר היפותלמוס-היפופוזה?,הורמונים המיוצרים בהיפותלמוס מופרשים מהאונה הקידמית של ההיפופיזה לגוף,נוירונים מההיפותלמוס שולחים אקסונים אל תוך האונה הקידמית של ההיפופיזה,נוירונים מההיפותלמוס שולחים אקסונים אל תוך האונה האחורית של ההיפופיזה ומפרישים משם פפטידים שפועלים על איברים אחרים בגוף,האונה הקידמית של ההיפופיזה פעילה באופן עצמאי ואינה תלויה בסיגנלים היפותלמיים,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',איזה מהמשפטים הבאים אינו נכון?,"ברמות גבוהות של גלוקוז בדם, אינסולין גורם לגלוקוז להיכנס לתאי כבד ותאי שריר ולהאגר כגליקוגן",רמות גבוהות של גלוקוז בדם גורמות להפרשת גלוקגון מהלבלב,רמות גבוהות של גלוקוז בדם גורמות להפרשת אינסולין מהלבלב,,,,2,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',"חזרה לרמות נורמליות של יוני סידן (Ca2+) בדם בעקבות פירוק עצם, תגרום:","הפעלת משוב שלילי שיגרום לירידה בהפרשת הורמון PTH ע""י בלוטת Parathyroid Gland.","הפעלת משוב חיובי שיגרום לירידה בהפרשת הורמון PTH ע""י בלוטת Parathyroid Gland.","הפעלת משוב שלילי שיגרום לעלייה בהפרשת הורמון PTH ע""י בלוטת Parathyroid Gland.","הפעלת משוב חיובי שיגרום לעלייה בהפרשת הורמון PTH ע""י בלוטת Parathyroid Gland.",,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',ילד הסובל מתת-תזונה (Malnutrition),בהכרח חסרה לו האנרגיה הדרושה לקיום פעילות מטבולית בסיסית. אספקת פחמימות לילד כזה תציל את חייו.,"בהכרח חסרים לו חומרי הזנה חיוניים כגון מינרלים, ויטמינים, חומצות שומן מסוימות, או וחומצות אמינו מסוימות. אבחון החוסר עשוי להציל את חייו.","בהכרח חסרים לו אבות המזון (חלבונים, פחמימות ושומנים) ולכן יהיה רזה במיוחד. אספקת חלבונים, פחמימות ושומנים תציל את חייו.",בהכרח בול מטיפול לקוי. חינוך ההורים עשוי להציל את חייו.,,,2,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',"במערכת העיכול בבני אדם, עיכול אנזימתי ראשוני בקיבה הוא בעיקר של",חלבונים (Proteins),פחמימות (Carbohydrates),מינרלים (Minerals),שומנים (Lipids),ויטמינים,,1,פיזיולוגיה,FALSE,,
שחזורים 2018 - מועד א',קשר בין ההורמון לבין אתר ההפרשה שלו ופעילותו:,"הורמון Gastrin מופרש ע""י הקיבה ומעודד פעילות של כיס המרה.","הורמון Secretin מופרש ע""י התריסריון (Duodenum) ומעודד יצור ביקרובונט כדי לנטרל את החומציות של העיסה המגיעה מהקיבה.","הורמון Gastrin מופרש ע""י התריסריון (Duodenum) ומעודד התכוצות של כיס המרה.","הורמון CCK (Cholecystokinin) מופרש ע""י הלבלב ומעודד הפרשה של אנזימי עיכול.",,,2,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',"נוזלי גוף של בעל חיים אוסמורגולטור (Osmoregulator) החי באגם, יהיו ______________ ביחס לסביבתו החיצונית.",היפראוסמותיים (Hyperosmotic),היפואוסמוטיים (Hypoosomotic),איזואוסמוטיים (Isoosmotic),אוסמורגולטוריים (Osmoregulatory),,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',מה הוא הסדר הנכון של חלקי הנפרון אותם עובר תסנין השתן מכניסתו ועד יציאתו?,"הקופסית על שם באומן (Bowman’s Capsule), האבובית המקורבת (Proximal Tubule), לולאת הנלה (Loop of Henle), האבובית המרוחקת (Distal Tubule), הצינור המאסף (Collecting Duct).","קופסית על שם באומן (Bowman’s Capsule), לולאת הנלה (Loop of Henle), האבובית המקורבת (Proximal Tubule), האבובית המרוחקת (Distal Tubule), הצינור המאסף (Collecting Duct).","האבובית המקורבת (Proximal Tubule), לולאת הנלה (Loop of Henle), האבובית המרוחקת (Distal Tubule), הקופסית על שם באומן (Bowman’s Capsule), הצינור המאסף (Collecting Duct).","הצינור המאסף (Collecting Duct), הקופסית על שם באומן (Bowman’s Capsule), והאבובית המקורבת (Proximal Tubule), לולאת הנלה (Loop of Henle), האבובית המרוחקת (Distal Tubule).",,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',מה תפקידו של הורמון  ADH (Antidiuretic Hormone) בגוף?,"כאשר ריכוז המומסים בדם גבוה, ADH גורם לסינון מוגבר של תסנין הקופסית באומן.","כאשר ריכוז המומסים בדם גבוה, ADH מעלה את כמות תעלות המים (אקוופורינים) בצינורות המאספים ומביא בכך לספיגה מוגברת של מים חזרה אל הדם.","כאשר ריכוז המומסים בדם נמוך, ADH גורם להתכווצות כלי דם ולסינון מהיר יותר של מומסים בנפרון.","כאשר ריכוז המומסים בדם נמוך, ADH גורם להתכווצות כלי דם ולסינון איטי יותר של מומסים בנפרון.",,,2,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',מי מהבאים מאפיין Parthenogensis (רביית בתולים)?,פרט אשר יכול לשנות את הזוויג שלו במהלך החיים.,תאים מתמחים אשר יכולים להתפתח לפרט חדש.,התפתחות צאצא מביצית לא מופרית.,אורגניזם שמתחיל את חייו כזכר ולאחר מכן הופך לנקבה.,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',איזה מההצהרות הבאות נכונה לגבי LH (Luteinizing Hormone) במערכת הרבייה הנקבית?,הוא מיוצר בהיפותלמוס.,הוא מעכב ביוץ.,משרה ביוץ והתחדשות של המיוזה.,מעודד באופן ישיר את יצירת רירית הרחם בגופיף הצהוב.,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',איזה מההצהרות הבאות נכונה לגבי ההורמון פרוגסטרון במערכת הרבייה הנקבית של יונק?,מיוצר בבלוטת ההיפופיזה ומעודד ביוץ.,מיוצר בגופיף הצהוב ומעודד ביוץ.,מיוצר בגופיף הצהוב במשך ההריון.,מיוצר ברירית הרחם ומעודד התפתחות של הגופיף הצהוב.,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2018 - מועד א',נניח מצב תיאורטי שבו התקופה הרפרקטורית בתעלת הנתרן תלויות המתח קצרה יותר. איזה מהמשפטים הבאים נכון?,"בנוירון זה פוטנציאלי הפעולה יהיו ארוכים יותר לעומת נוירון נורמלי.",בנוירון זה יכולים להתרחש יותר פוטנציאלי פעולה בזמן נתון לעומת נוירון נורמלי.,בנוירון זה לא יתרחשו פוטנציאלי פעולה.,בנוירון זה הפיק של פוטנציאלי הפעולה יהיה חיובי יותר לעומת נוירון נורמלי.,בנוירון זה הסף לפוטנציאל פעולה יהיה נמוך יותר לעומת נוירון נורמלי.,,2,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2018 - מועד א',במעבדה נעשתה עריכה גנטית של תעלות הסידן תלויות המתח שבעקבותיה התעלות בצד הפרה סינפטי פועלות בצורה תמידית. כתוצאה מכך:,פוטנציאלי הפעולה ירתחשו במהירות גבוהה יותר,נוירוטרנסמיטורים לא ישתחררו למרווח הבין סינפטי,שחרור הנוירוטרנסמיטורים למרווח הבין סינפטי יתרחש באופן בלתי תלוי בפוטנציאלי הפעולה,ישתחררו פחות נוירוטרנסמיטורים למרווח הבין סינפטי בהשוואה לנוירון נורמלי,לא יתרחשו כלל פוטנציאלי פעולה בנוירון זה,,3,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2018 - מועד א',"נניח שביכולתנו לעשות מדידה מנוירון יחיד ולבדוק את מצב התעלות שבו. במידה ואנחנו נמצאים בשלב היורד של פוטנציאל הפעולה (Repolarization), מה אינו נכון?",תעלת הנתרן תלויות המתח סגורות,תעלות הנתרן שאינן תלויות המתח פתוחות,משאבות הנתרן-אשלגן פעילות,תעלות האשלגן שאינן תלויות מתח פתוחות,תעלות האשלגן תלויות המתח סגורות,,5,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2018 - מועד א',אדם הסובל מבעיות התמצאות מרחבית ככל הנראה פגוע ב:,היפוקמפוס,אמיגדלה,היפותלמוס,תלמוס,המוח האמצעי,,1,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2018 - מועד א',איזה צימוד בין איזור ומיקומו במוח נכון?,אזור ברוקה – אונה פרונטלית,אזור ורניקה – אונה פרונטלית,הקורטקס הסומו-סנסורי (Somatosensory) – אונה אוקסיפטלית,הקורטקס הסומו-סנסורי (Somatosensory) – אונה טמפורלית.,אזור ורניקה – אונה פריאטלית,,1,אותות חשמליים וסנסורים,FALSE,,
שחזורים 2018 - מועד א',איזה משפט נכון?,ביטוי של תעלות AMPA יגרום להחלשת סינפסה קיימת,ביטוי של תעלות NMDA יגרום להחלשת סינפסה קיימת,גמישות סינפטית היא היכולת של סינפסה להתחזק או להחלש,גמישות סינפטית היא היכולת של סינפסה להתחזק בלבד,עיכוב של תעלות AMPA יגרום לחיזוק סינפסה קיימת,,3,אותות חשמליים וסנסורים,FALSE,,
