מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,הערות
שחזורים - 2016 מועד א',מה מהבאים הוכחה לכך שלכל היצורים יש אותו אב קדמון?,קיומו של גרעין תא,קיומם של כלורופלסטים,קיומם של ריסים,קיום של קוד גנטי זהה,,,3,,
שחזורים - 2016 מועד א',"מה נכון לגבי כל היפותזה מדעית טובה?
",שניתן לבחון אותה,שניתן להפריך אותה,שניתן לענות עליה בתשובה מספרית,שניתן יהיה לחזור על התוצאות של ניסוי הבוחן אותה,1+2 נכונות,3+4 נכונות,5,,
שחזורים - 2016 מועד א',אלו מהיסודות הבאים מרכיבים 96% מהחומר החי?,"נתרן,אשלגן,מימן, חמצן","פחמן,מימן, חנקן, חמצן",משהו עם סידן?,"פחמן, חמצן, נתרן ומימן",,,2,,
שחזורים - 2016 מועד א',מה נכון לגבי קשר פולארי?,האלקטרונגטיביות של היסודות המרכיבים אותו דומה,האלקטרונגטיביות של היסודות המרכיבים אותו שונה,אין קשר בין אלקטרונגטיביות לקשר פולארי,אף תשובה אינה נכונה,,,2,כימיה של החיים,
שחזורים - 2016 מועד א',מהם הקשרים הנותנים למים את תכונותיהם הייחודיות?,קשרי ואן דר וואלס,קשרי מימן,קשרים יוניים,קשרי פחמן,,,2,כימיה של החיים,
שחזורים - 2016 מועד א',מהי קוהזיה?,קשרים קוולנטיים בין מולקולות זהות,קשרים לא קוולנטיים בין מולקולות זהות,קשרים קוולנטיים בין מולקולות שונות,קשרים שאינם קוולנטיים בין מולקולות שונות,,,2,,
שחזורים - 2016 מועד א',מהם איזומרים?,מולקולות בעלות מסה שונה ומבנה מרחבי זהה,מולקולת בעלות מסה שונה ומבנה מרחבי שונה,מולקולות בעלות מסה זהה ומבנה מרחבי שונה,מולקולות בעלות מסה זהה ומבנה מרחבי זהה,,,3,,
שחזורים - 2016 מועד א',פחמן יכול ליצור...,עד 4 קשרים,עד 3 קשרים,עד שני קשרים,קשר אחד,,,1,,
שחזורים - 2016 מועד א',גליקוגן בנוי מתת יחידות של,חומצות אמינו,שומנים,סוכר,,,,3,ביולוגיה של התא,
שחזורים - 2016 מועד א',הקשר בין חומצות אמינו במבנה הראשוני של חלבון הוא:,קשר קוולנטי,קשר יוני,קשרי ואן דר ואלס,קשרי מימן,,,1,כימיה של החיים,
שחזורים - 2016 מועד א',מהו תהליך שיש בו רק אנרגיה פוטנציאלית ולא אנרגיה קינטית?,חיפושית זוחלת בחיפוש אחר מזון,מים נופלים במפלי הניאגרה,מולקולת גלוקוז,גחלילית הפולטת אור,,,??,,
שחזורים - 2016 מועד א',נוסח השאלה: הציור היה שאנרגיה מקטבוליזם נכנסת למעגל של ADP+P ← ATP ובין ה-ATP ל-ADP+P זה אנרגיה לשימוש לעבודה תאית (הציור היה ללא מולקולת המים),ADP ו-Pi עוצרים אנרגיה מהשלב הקטבולי (משהו כזה),ATP מתווך בין האנרגיה מהמזון לאנרגיה לעבודת התא,,,,,2,,
שחזורים - 2016 מועד א',"התגובה של הנשימה התאית, מה נכון?","חמצן מתחזר ופד""ח מתחמצן",גלוקוז מתחמצן וחמצן מתחזר,"חמצן מתחמצן ופד""ח מתחזר",חמצן מתחמצן ומים מתחזרים,,,2,ביולוגיה של התא,
שחזורים - 2016 מועד א',נוסח השאלה: מה ההבדל בפוטוסיתזה בין צמחים מסוג C4 לבין צמחים מסוג C3?,"צמחי C4 מגיעים לרוויה בקיבוע פד""ח יותר מהר מצמחי C3",נק' הקומפנסציה של צמחי C4 גבוהה יותר משל C3,צמחי C4 יעשו פוטוסיתזה רק כשיהיה ריכוז גבוה של פחמן דו חמצני (או הפוך…),צמחי C3 צורכים יותר אנרגיה בקיבוע פחמן דו חמצני מאשר צמחי C4 משום שאין להם את חלבון pep.,,,??,,
שחזורים - 2016 מועד א',מה הקשר בין פוטוסינתזה לנשימה?,פוטוסינתזה משתמשת באותו מסלול ביוכימי של נשימה רק בצורה ההפוכה,פוטוסינתזה עוצרת אנרגיה במולקולות אורגניות ונשימה משחררת אנרגיה אצורה ממולקולות אורגניות,"נשימה מתרחשת רק בחיות, פוטוסינתזה רק בצמחים",,,,2,,
שחזורים - 2016 מועד א',מה הבסיס של מעגל קלווין?,?,?,ליצור סוכרים קטנים מ CO2,?,,,3,ביולוגיה של התא,
שחזורים - 2016 מועד א',איך מתרחשת רבייה א-מינית?,הפרייה,החלפת כרומוזומים בין תאים שונים,מיוזה,מיטוזה,שבר בכרומוזומים,,4,,
שחזורים - 2016 מועד א',מדענית השוותה בין שני תא רגיל לתא אחר וראו שבשני יש פי 1.5 יותר DNA. באיזה שלב התא השני נמצא?,G2,M,אנאפאזה,S,,,4,,
שחזורים - 2016 מועד א',מה ההסבר הכי סביר לכך שיש תא עם מספר גרעינים?,התא עבר מספר מיטוזות ולא עבר ציטוקנזה,התא עבר מספר שלבי S לפני שהתחלק,,,,,1,,
שחזורים - 2016 מועד א',לא זוכרת את המיקום של השאלה אבל היא הייתה משהו כמו איפה מתעכל מה שנאכל בפאגוציטוזה?,ליזוזום,ואקואולה,,,,,1,ביולוגיה של התא,
שחזורים - 2016 מועד א',"יש לו מיטוכונדריה, אנזימים ואין לו ממברנת גרעין. מה ההסבר הכי טוב לכך?",חיידק,תא בשלב המטאפאזה,,,,,2,,
שחזורים - 2016 מועד א',מה מאפיין מטאפזה,הכרומוזומים מסתדרים בequator,הגמטות נפרדות,הצנטרומר מתפרק,,,,1,,
שחזורים - 2016 מועד א',מה התפקוד העיקרי של פוספורילציה בתקשורת בין תאית?,אקטיבציה של חלבון G,יצירת קונפורמציות בחלבונים,אי-אקטיבציה של חלבון G,,,,1,,
שחזורים - 2016 מועד א',הורמון אסטרוגן אצל נשים משפיע במספר מקומות בו זמנים באופן שונה. מה מהבאים יכול להסביר זאת,רק לחלק מהאים יש רצפטור להורמון,הוא נקשר לרצפטור של חלבונים חוצי ממברנה בתאים שונים והתגובה של כל תא שונה,התגובה של תא בו ההורמון נקשר לקולטנים תוך תאיים משתנה מתא לתא,,,,3,,
שחזורים - 2016 מועד א',מה היא דוגמה טובה להורשה מרובת גנים?,פיגמנטים בתאי עור של בני אדם,סוג דם בבני אדם ABO,,,,,1,,
שחזורים - 2016 מועד א',למה מתכוונים שאומרים שהDNA הוא דגנטרטיבי redundant?,לכל חומצה אמינית יש יותר מקודן אחד שמקודד עבורה,?,?,,,,1,,
שחזורים - 2016 מועד א',מה ההבדל בין הכלאה מונוהיברידית להכלאה דוהיברידית?,הכלאה מונוהיברידית היא בין דור אחד ובהכלאה דוהיברידית יש שני דורות,בהכלאה מונוהיברידית יש רק הורה אחד ובדוהיברידית יש שני הורים,בהכלאה דוהיברידית יש שני הורים שהם הטרוזיגוטים לשתי תכונות ובהכלאה מונוהיברידית יש הורה אחד שהוא הומוזיגוט לתכונה אחת,,,,3,,
שחזורים - 2016 מועד א',"מה נכון לגבי מיקומי מקרו מולקולות בתא בתא? 
",ה-RNA בציטוזול חופשי לגמרי,בתאים צמחיים יש DNA מחוץ לגרעין ולמיטוכונדריה,,,,,2,,
שחזורים - 2016 מועד א',מהו מרחק מפה 1??,מרחק בו השכיחות של גנים שיעבור רקומבינציה הוא אחוז אחד,מרחק פיזי בין גנים,שכיחות רקומבינציה עבור גנים שלא נמצאים בתאחיזה,מרחק של ננומטר אחד,,,3,,
שחזורים - 2016 מועד א',"יש תרופה שפוגעת בפולימרציה של סיבי אקטין, איזה מהתהליכים הבאים ימשך?",ציטוקינזה,תנועת התא,תנועת וזיקולות (Vesicles) אל הגולג'י,התכווצות שרירים,,,4,,
שחזורים - 2016 מועד א',מי החוקר/ים שגילה שכמות הA שווה לכמו הT בDNA,3 מדענים,צ'ארגף,מתיו ועוד מישהו,הרשי וצ'ייס,,,2,,
שחזורים - 2016 מועד א',גבר חולה במחלה בתאחיזה לכרומוזום x. למי יוריש אותו?,לכל ילדיו,לכל בניו,לכל בנותיו,למחצית מבניו,,,3,,
שחזורים - 2016 מועד א',מורגן הכליא בין זבובי דרוזופילה עם עיניים אדומות. ב-F1 התקבלו זבובים עם עיניים אדומות אך גם לבנות. מורגן שם לב כי כל הזבובים עם העיניים הלבנות היו זכרים. מה זה אומר על אופן ההורשה של גן עיניים לבנות?,אוטוזומי אבל משפיע רק על זכרים,אחוז ל-X,אחוז ל-Y,,,,2,,
שחזורים - 2016 מועד א',מהו חלבון הטופואיזומראז,"להוריד את הלחץ על החלק של הדנ""א שלפני ואחרי מזלג השכפול",,,,,,1,,
שחזורים - 2016 מועד א',למה אומרים על DNA שהוא אנטיפארללי,"כי הגדילים מסודרים כך שכשבקצה של אחד מהם יש 3', אז בשני 5' ולהפך. כיוונים נגדיים",,,,,,1,,
שחזורים - 2016 מועד א',"דוקטורנט שובב מחליט לבצע ניסוי. הוא לוקח mRAN , מוריד ממנו את ה5 cap וזנב הpoly-A שלו, ומכניס אותו לתוך ציטוזול של תא אחר. מה לדעתך הכי סביר שיקרה?","יסותנז חלבון מהmRNA, אבל לאט.",הmRNA ינדוד לגרעין התא.,הmRNA יושמד כי הוא ללא הגנה בקצוות.,,,,1,,
שחזורים - 2016 מועד א',"כאשר הרפרסור לאופרון הטריפטופן מפסיק את השעתוק של האופרון, הוא?",נקשר לאינדיוסר,נקשר לפרומוטור,נקשר לרפרסור עצמו?,קשור לטריפטופן,לא קשור לטריפטופן,,?,,
שחזורים - 2017 מועד א',איך יודעים שהמקור של כל הצאצאים הוא מאב קדום משותף?,לכולם יש DNA שמורכב מאותו קוד גנטי,ריסים,לכולם יש מבנה תא זהה,את כולם ניתן לחקור מדעית,,,1,,
שחזורים - 2017 מועד א',באיזומרים מבניים:,המסה המולקולרית שונה; התכונות הפיזיקליות שונות,המסה המולקולרית זהה; התכונות הפיזיקליות שונות,המסה המולקולרית שונה; התכונות הפיזיקליות דומות,המסה המולקולרית זהה; התכונות הפיזיקליות דומות,,,2,,
שחזורים - 2017 מועד א',מהי קוהזיה?,מולקולות מאותו סוג שעושות קשרים קוולנטיים,מולקולות מאותו סוג שעושות קשרים לא קוולנטיים,מולקולות שונות שעושות קשרים קוולנטיים,מולקולות שונות שעושות קשרים לא קוולנטיים,,,2,,
שחזורים - 2017 מועד א',מה אפשר להגיד על האטומים בתמונה? (הופיעה דיאגרמת לואיס של CH4),האלקטרונגטיביות של האטום המרכזי גבוה משל המקיפים אותו,האלקטרונגטיביות של האטום המרכזי נמוכה משל המקיפים אותו,האלקטרונגטיביות של האטום המרכזי דומה משל המקיפים אותו,לא ניתן לדעת מה האלקטרונגטיביות,,,1,,
שחזורים - 2017 מועד א',איזה קשרים יכולה לבצע המולקולה המופיעה בשאלה הקודמת?,קשרים יוניים,קשרי ואן דר ואלס,קשרי מימן,קשרי פחמן,,,2,,
שחזורים - 2017 מועד א',הקשרים בין חומצות אמינו במבנה הראשוני של החלבון הם:,קשרים קוולנטים,קשרי מימן,קשרים יוניים,קשרים פולריים,,,1,,
שחזורים - 2017 מועד א',כאשר נוצר קשר בין שתי חומצות אמינו :,נוצר קשר בין קבוצה אמינית לקבוצה הידרוקסילית ונפלטת מולקולת מים,נוצר קשר בין קבוצה אמינית לקבוצה הידרוקסילית ונקלטת מולקולת מים,נוצר קשר בין קבוצה אמינית לקבוצה קרבוקסילית ונפלטת מולקולת מים,נוצר קשר בין קבוצה אמינית לקבוצה קרבוקסילית ונקלטת מולקולת מים,,,3,,
שחזורים - 2017 מועד א',במים נוזליים ; כל מולקולת מים יכולה לקשור?,עד 3 מולקולות מים בקשר קוולנטי,עד 3 מולקולות מים בקשרי מימן,עד 4 מולקולות מים בקשרי מימן,עד 4 מולקולות מים בקשר קוולנטי,,,3,,
שחזורים - 2017 מועד א',מאיזה מונומרים בנוי עמילן?,סוכרים,חומצות שומן,חומצות אמינו,שומנים,,,1,,
שחזורים - 2017 מועד א',היווצרות חלבונים; פחמימות וטרי-גליצרידים מתרחשים בתהליך של:,הידרציה,דה- הידרציה,קוהזיה,?,,,2,,
שחזורים - 2017 מועד א',יש ציור של קבוצת מתיל ושואלים איזו קבוצה זו,קבוצת הידרוקסיל שניתן למצוא במשקאות אלכוהוליים,קבוצת פוספט ש...,קבוצת מתיל שיודעת להשפיע על ביטוי גן,קבוצת צד שקובעת את אופי החלבון,,,3,,
שחזורים - 2017 מועד א',מה נכון לגבי הציור (ציור של אננטיומרים),תכונות ביולוגיות זהות,נקודת התכה זהה,נקודת קיטוב אור זהה,יכולת היקשרות לקולטן זהה,,,2,,
שחזורים - 2017 מועד א',עבור חומצת שומן טראנס; בה מיקום הקשר הכפול ואורך השרשרת זהה:,נקודת ההתכה שלה תהיה יותר גבוהה משל חומצות שומן cis,נקודת ההתכה שלה תהיה נמוכה משל חומצות שומן cis,נקודת ההתכה שלהן תהיה זהה,לא ניתן לקבוע,,,1,,
שחזורים - 2017 מועד א',מי מהבאים יתפקד טוב יותר בטמפרטורה גבוהה?,צמחי C3,צמחי C4,צמחים בעלי נקודת הקומפנסציה הגבוהה יותר,א+ג,ב+ג,,2,,
שחזורים - 2017 מועד א',פוטון באורך גל nm670 נקלט בעליו של צמח. מה נכון:,ייווצר ATP ו NADPH כי PSI קולט אורך גל עד 700nm,ייווצר רק מפל פרוטונים בריכוז נמוך יותר,האלקטרונים יקלטו רק בPSII וייווצר מפל פרוטונים חלש יותר,לא תיתכן קליטת אלקטרונים לnm680 במרכז הריאקציה,,,1,,
שחזורים - 2017 מועד א',מה נכון לגבי ההבדל בין צמחי C4 ו C3:,צמחי C4 יגיעו לרוויה בקיבוע CO2 יותר מהר,צמחי C4 הם בעלי נקודת קומפנסציה גבוהה יותר,צמחי C4 יבצעו קיבוע CO2 בריכוזים גבוהים יותר של CO2 מאשר צמחי C3,בעוצמות גבוהות של אור; צמחי C3 מקבע CO2 טוב יותר,צמחי C3 צריכים יותר אנרגיה לקיבוע CO2 כי הם חסרים את אנזים PEP,,1,,
שחזורים - 2017 מועד א',מה המשפט הנכון לגבי הקשר בין פוטוסינתזה לנשימה התאית?,פוטוסינתזה משתמשת באותו המסלול הביוכימי כמו הנשימה תאית רק בצורה הפוכה,פוטוסינתזה היא תהליך קטבולי ונשימה תאית אנאבולי,פוטוסינתזה אוצרת אנרגיה במולקולות אורגניות ונשימה משחררת אנרגיה האצורה במולקולות אורגניות,נשימה מתרחשת רק בחיות; פוטוסינתזה רק בצמחים,פוטוסינתזה מתרחשת רק באאוקריוטים ונשימה תאית מתרחשת באאוקריוטים ופרוקריוטיים,,3,,
שחזורים - 2017 מועד א',מה נכון לגבי גוף ביולוגי שנמצא במצב של שיווי משקל?,אין לו יכולת לבצע עבודה,האנרגיה הקינטית שלו שווה ל0,הוא צורך אנרגיה במצב של שיווי משקל,הוא פולט אנרגיה במצב של שיווי משקל,,,1,,
שחזורים - 2017 מועד א',איזה מהפעולות הבאות לא כלולה בKelvin cycle?,חימצון של NADPH,פליטת O2,"זרחון ע""י ATP",שחזור של RuBP,,,2,,
שחזורים - 2017 מועד א',אדם נושם סיבי אסבסט שנכנסים לתאים בתהליך של פאגוציטוזה. באיזה אברון סיבים אלו מתפרקים?,מיטוכונדריה,ריבוזום,ליזוזום,פרוקסיזום.,,,3,,
שחזורים - 2017 מועד א',מה נכון לומר לגבי תהליך שעובר הcdk במיטוזה?,מזרחן לחלבון בכניסה לפאזה G1,פעילותו משתנה לאורך המעגל,הוא מזרחן את עצמו,הוא עובר שינוי טרנספורמציה,הוא עובר חמצון,,4,,
שחזורים - 2017 מועד א',איפה נוצרים חלבונים מלבד הריבוזומים החופשיים והE.R?,גרעין התא,כלורופלסט,גולג'י,פרוקסיזום,תווך בין תאי,,2,,
שחזורים - 2017 מועד א',Pi וADP משמשים כמקור אנרגטי להנעת תהליכים קטבוליים,ATP משמש כמתווך להעברת אנרגיה מתהליך קטבולי לפעילות תאית,תהליכים קטבוליים משחררים ישירות אנרגיה לפעילות תאית,ADP הינה מולקולה אורגנית עתירת אנרגיה,,,,1,,
שחזורים - 2017 מועד א',איזה מוטציה צפויה להפחית את הולכת הסיגנל של רצפטור טירוזין קינאז?,שמחליפה שיירי טירוזין בפניל אלנין בשייר הציטוזולי של הרצפטור,הפחתה של אנדוציטוזה של הרצפטור והסעתו לליזוזומים,שמפחיתה את משיכת הRTK לחלבוני פוספטאז,הגברה של הדימרציה,שמגבירה את קישור הRTK ל ATP באופן יעיל יותר לרצפטור,,1,,
שחזורים - 2017 מועד א',מה נכון לגבי פעילות משאבת אלקטרונים בתא?,זרחון של המשאבה מגביר את הזיקה שלה לNa+,דה-פוספורילציה של המשאבה מחלישה את הזיקה ל K+,מוציאה יוני Na+ החוצה על ידי קשירת ATP,קישור של מולקולת ATP משחרר K+ מהתא,מכניסה יוני Na+ לתא על ידי קשירת ATP,,2,,
שחזורים - 2017 מועד א',"איזה מהתהליכים הבאים מתרחשים בקישור של מולקולת סיגנל אפינפרין לרצפטור ע""י חלבון G ( GPCR)?",זירוז החלפת GDP בGTP עי Adenylyl cyclase,הידרוליזה של ATP לADP עי Adenylyl cyclase,הפיכה של GDP לGTP עקב קשירת Adenylyl cyclase לחלבון G,הפיכה של ADP לATP על גבי חלבונים בתא עקב נוכחות של Adenylyl cyclase,קישור של cAMP להפעלת PKA,,5,,
שחזורים - 2017 מועד א',מה נבדק בשלב הM-checkpoint?,תרגום RNA,שלמות מעטפת הגרעין,קשירת מיקרוטובולי לכרומוזומים,שכפול DNA,קשירת סיבי אקטין,,3,,
שחזורים - 2017 מועד א',מתי מתרחשת חלוקה בלתי תלויה של כרומוזומים הומולוגיים? Law of independent assortment,בחלוקה ראשונה של מיוזה 1,במיטוזה ובחלוקה במיוזה 2,במיטוזה ובחלוקה במיוזה 1,במיוזה 2 בלבד,,,1,,
שחזורים - 2017 מועד א',מה מאפיין את תהליך האפופטוזיס ביצורים רב תאיים?,התהליך קורה רק במחלה,עיבוד פרוטאוליטי (Proteolytic Cascade) של קספז,שמירה על המורפולוגייה התאית,תוכן התא נשפך החוצה ומשפיע על תאים שכנים,,,2,,
שחזורים - 2017 מועד א',מה מאפיין סיגנל המועבר פרקרינית?,קשר פיזי בין התאים,דיפוזיה של מולקולת סיגנל,קשירה של ליגנד הידרופובי,קולטן המגיב לרצפטורים תוך תאיים,חלוקת החומר הציטופלזמטי בין התאים,,2,,
שחזורים - 2017 מועד א',מה לא נכון לגבי תאים בפרוקריוטיים?,יש להם ריבוזומים,יש להם מיטוכונדריה,יש להם ממברנה תאית,יש להם רשת אנדופלסמית (Endoplasmic Reticulum),יש להם דופן,,4,,
שחזורים - 2017 מועד א',מה מבין הבאים הוא דוגמא לאנרגיה פוטנציאלית אבל לא קינטית?,מולקולת גלוקוז,חיפושי שזוחלת בחיפוש אחר מזון,גחלילית שמפיצה אור,מים שנופלים במפלי הניאגרה,,,1,,
שחזורים - 2017 מועד א',מה מאפיין את שלב הG0?,יש סינתוז של DNA (שכפול) ויש סינתוז של mRNA (שעתוק),אין סינתוז של DNA ויש סינתוז של mRNA,אין סינתוז mRNA ויש יצירת חלבונים,אין סינתוז של mRNA ואין תרגום לחלבונים,,,2,,
שחזורים - 2017 מועד א',מה מאפיין רצפטורים של הורמונים (כמו אלדסטורון וטסטוסטרון,לא מסיס במים,יכולים להיקשר לRNA ומשפיעים על התרגום,יכולים להיקשר לDNA ומשפיעים על השעתוק,חוצה ממברנה,,,3,,
שחזורים - 2017 מועד א',בשיעור הראשון בגנטיקה למדנו על גנטיקה ואינפורמציה. על פי סידני ברנר; כיסא אינו יצור חי מכיוון ש:,כיסא לא זז,לא כל הכיסאות דומים. יש הרבה כיסאות שונים,כיסא לא מגיב עם הסביבה; לא מתקן את עצמו אם נשבר,כיסא אינו כולל בתוכו הוראות פנימיות לשכפול עצמי,,,4,,
שחזורים - 2017 מועד א',יצור מבצע רבייה מינית. הגן E אחראי לצבע העיניים והגן N לאורך הצוואר. הגנים לא בתאחיזה. הגנוטיפ של הייצור הוא EeNn. מה נוכל למצוא בגמטה של היצור?,EeNn,Ee,EN,N,,,3,,
שחזורים - 2017 מועד א',איזה מהדוגמאות הבאות היא דוגמא לפוליגניות שמשתנה עקב מגע עם הסביבה?,אינטליגנציה של בנאדם,מורפולוגיה של אפון,צבעו של פרח,סוג דם,,,1,,
שחזורים - 2017 מועד א',בניסוי הזבובים של מורגן התקבלו צאצאים בדור F1 עם עיניים אדומות ורק לזכרים עיניים לבנות. מה אפשר ללמוד מכן?,הגן מקושר לכרומוזום Y,הגן הינו אוטוטרופי,הגן מצומד לכרומוזום X,הגן הינו גן דומיננטי אבל משפיע רק על זכרים,,,3,,
שחזורים - 2017 מועד א',נתון כי המרחק בין שני גנים על כרומוזם הוא 15; מה זה אומר?,15% מהצאצאים יעברו ריקומבינציה לגן,יש מרחק של 15 נוקלאוטידים בינהם,הגנים לא בתאחיזה,ישנו מרחק של 15 ננומטר בין הגנים,,,1,,
שחזורים - 2017 מועד א',מה מאפיין הכלאה מונוהיברידית (monohybrid) לעומת הכלאה דוהיברידית (dihybrid)?,הכלאה מונוהיברידית מערבת הורה אחד והכלאה דיהברידית שני הורים,הכלאה מונוהיברידית היא לדור אחד והכלאה דיהיברידית היא לשני דורות,בהכלאה מונוהיברידית ההורים הטרוזיגוטיים לגן אחד ובדיהיברידית ההורים הטרוזיגוטיים לשני גנים,היצור מסוגל להתרבות ברבייה א-מינית,,,3,,
שחזורים - 2017 מועד א',גבר שנושא אלל מסויים על כרומוזום X שלו יוריש אותו ל:,כל בנותיו,חצי מבנותיו,כל בניו,כל צאצאיו,,,1,,
שחזורים - 2017 מועד א',מי מהבאים אחראי על התגלית הבאה? כמות הT=A וכמות הG=C,רוזלין פרנקלין,נוני מוזס,הרשי וצ'ייס,ארווין שרגרף,סידני ברנר,,4,,
שחזורים - 2017 מועד א',כיצד הפנוטיפ של דור F1 תמיד הראה את אחד מהפנוטיפים של דור ההורים(P0),?,?,?,אחד האללים היה דומיננטי,,,4,,
שחזורים - 2017 מועד א',מה מהבאים מאפיין תאים פרוקריוטים ואינו קיים באאוקריוטים?,טלקינזיס,פוליאדנילציה,תורשה כרומוזומלית,שחבור (Splicing) של הRNA,צימוד ישיר בין שעתוק לתרגום,תרגום של הRNA לחלבונים מחוץ לגרעין.,5,,
שחזורים - 2017 מועד א',ברבייה שהראתה פנוטיפים שונים מההורים Incomplete dominance:,הפנוטיפים של ההורים הם הטרוזיגוט והומוזיגוט,משהו על זה שזה נדיר אז המדענים התעלמו מזה,?,?,,,1,,
שחזורים - 2017 מועד א',מה התופעה באברציה כרומוזומלית בה חתיכה מכרומוזום אחד עברה לכרומוזום אחר,deletion,inversion,duplication,טרנסלוקציה,,,4,,
שחזורים - 2017 מועד ב',כדי להבין את תהליך התורשה; עלינו להבין את מבנה הדנא. משפט זה מסמל איזה עקרון בביולוגיה?,Reductionism,תכונות מתגלות (Emergant Properties),וויסות משוב (Feedback Regulation),אבולוציה,,,1,,
שחזורים - 2017 מועד ב',מה ההבדל בין תיאוריה להיפותזה?,תיאוריה מסמלת רעיון כללי והיפותזה היא רעיון נקודתי,היפותזה מסמלת רעיון כללי ותיאוריה היא רעיון נקודתי,תיאוריה מוכחת הופכת לאמת מדעית; היפותזה מוכחת הופכת לתיאוריה,אין הבדל בין תיאוריה להיפותזה,,,1,,
שחזורים - 2017 מועד ב',בבדיקת דימות ((mri נעשה שימוש באיזוטופים לא רדיואקטיביים כמו C13. מה ההבדל בינו לבין C12?,מספר שונה של פרוטונים,מספר שונה של אלקטרונים,תשובות א+ב,אף אחת מהתשובות אינה נכונה,,,4,,
שחזורים - 2017 מועד ב',מבנים פחמימנים (Hydrocarbons) מסוגלים לבצע:,קשרי מימן,קשרי פחמן,קשרי ואן דר ואלס,קשרים יוניים,,,3,,
