מושגים,אנגלית,משמעות,נושא
ציטוקינים,Cytokine,מולקולות שמתווכות את פעילות מערכת החיסון בין התאים השונים,מערכת החיסון - עדית בן ברוך
פעילות אוטוקרינית ,,פעילות מערכת החיסון  בה התא שמפריש את החלבון וישלו רצפטורים לחלבון כך שהוא יכול לפעול עליו.,מערכת החיסון - עדית בן ברוך
פעילות פרקרינית ,,פעילות מערכת החיסון בה תא אחד מפריש את החלבון והוא נקלט על ידי רצפטורים מתאימים של תא אחר ומשפיע על פעילות התא הקולט.,מערכת החיסון - עדית בן ברוך
פאגוציטים,,תאים בולעניים,מערכת החיסון - עדית בן ברוך
מונוציטים,Monocytes,"תא בזרם הדם שהופך למקרופאג ברקמה. תאים השייכים למערכת החיסון. המונוציטים זורמים בדם ובולעים פתוגנים, אך הם בעיקר ידועים כתאי-האם של המקרופאג'ים, התאים הבלעניים החשובים ביותר במערכת החיסון; כשמונוציט נודד מהדם אל רקמה כלשהי הוא עובר התמיינות והופך למקרופאג'. המונוציטים מהווים אם כן את אחד משלושת סוגי הפגוציטים במערכת החיסון.",מערכת החיסון - עדית בן ברוך
אאוזונופילים,Eosinophil,"סוג של תא דם לבן, אשר תפקידו העיקרי במערכת החיסון הוא חיסול זיהומים הנגרמים על ידי טפילים",מערכת החיסון - עדית בן ברוך
דנדריטים ,,"הם תאים השייכים למערכת החיסון, אשר תפקידם העיקרי הוא בליעה של אנטיגנים שמקורם בפתוגנים (מיקרואורגניזמים מעוררי מחלות) . שמפעילים את מערכת החיסון הנרכשת, הצגה של האנטיגנים ללימפוציטים, ובייחוד לתאי T",מערכת החיסון - עדית בן ברוך
פאגוציטוזה,,"אכילה תאית. הפתוגן מתקרב לתא ומתרחש תהליך של קישור והכרה ביניהם. התא מקיף את הפתוגן, מכניס אותו לוואקולה, שלפוחית שמתאחה עם הליזוזום – בו הפתוגן מפורק.",מערכת החיסון - עדית בן ברוך
,TLR – Receptors Like Toll,"קולטנים במערכת החיסון המזהים דגמים של גורם שנכנס, וכך יודעים לקטלג אותו. לדוגמה יכולים להבחין ב-LPS (ליפופוליסכריד), מרכיב שיש על חיידקים גרם שליליים, ולא על חיוביים או  על אף תא בגוף.",מערכת החיסון - עדית בן ברוך
,PAMP - Patterns Molecular Associated Pathogen,"מולקולות במערכת החיסון היוצרות מין דגם, כלומר זיהוי רחב לחלוקה לסוגי משפחות של הגופים הזרים, הכוונה היא שלכל המשפחה יש משהו משותף, למשל כל הווירוסים עגולים. וכך נוצרת האבחנה בין עצמי לזר. עם זאת, המערכת המולדת לא יודעת לעשות את ההבדלה בין הווירוסים – את זה עושה המערכת הנרכשת",מערכת החיסון - עדית בן ברוך
אנדוזום,,אברון עטוף ממברנה בתאים אאוקריוטיים המשמש לשינוע חומרים בתא מממברנת הפלזמה אל הליזוזום לאחר אנדוציטוזה,מערכת החיסון - עדית בן ברוך
אנדוציטוזה,,"בליעה תאית (endo=בתוך, cytos=תא) היא קליטת חומר אל תוך התא על ידי כליאתו בהתקפלות של קרום התא כלפי פנים, וסגירת ההתקפלות כשלפוחית. האנדוציטוזה נחלקת לבליעת חלקיקים המכונה בולענות (פגוציטוזה) ולגמיעת נוזלים המכונה גמענות (פינוציטוזה). התהליך ההפוך נקרא פליטה תאית או אקסוציטוזה.",מערכת החיסון - עדית בן ברוך
וזיקולה,,"אברון בתוך הציטופלסמה של התא, המוקף בממברנה ומכיל חומרים שונים. תפקידן  כוללים אחסון, עיכול (בחד-תאיים), הפרשה וסילוק מים עודפים.",מערכת החיסון - עדית בן ברוך
,mast cells,"תאים הממוקמים ברקמה ומטרתם היא הפרשה של היסטמין. ההיסטמין גורם
להרחבה של כלי דם כך שהם יוכלו להניע יותר דם ואיתם יותר נוטרופילים ומונציטים. כמו כן, ההיסטמין גורם להגדלת החדירות של כלי הדם על מנת שלתאי הדם הלבנים יהיה קל יותר להיכנס לרקמה הפגועה.",מערכת החיסון - עדית בן ברוך
היפותלמוס ,,"אזור במוח חולייתנים שנמצא בקדמת מוח הביניים, מתחת לתלמוס (מכאן שמו הנגזר מהשפה היוונית) ומעל לבלוטת יותרת המוח שאליה הוא מקושר באמצעות מערכת כלי דם ועצבים.  אחראי על ויסות של תפקודים חיוניים רבים. הוא מעורב בתהליכים הקשורים לשמירה על הומאוסטזיס. ובשפעול של תגובות פיזיולוגיות. ההיפותלמוס לוקח חלק בפעולת כמו אכילה, שתייה, רבייה ותגובות למצבי לחץ",מערכת החיסון - עדית בן ברוך
בלוטת התימוס,thymus,"היא מבנה ורדרד ופחוס הממוקם בתוך חלל בית החזה מתחת לעצם החזה ולפני כלי הדם הגדולים וקנה הנשימה, ומשמש ליצירת תאים של המערכת החיסונית, ולתפקידים נוספים שטרם הובררו די צרכם",מערכת החיסון - עדית בן ברוך
תאים אפקטוריים ,,"תאים שנוצרים על ידי תאי מערכת החיסון הנרכשת T ו-B , תאים אקטיביים הפועלים כנגד הפתוגן",מערכת החיסון - עדית בן ברוך
,precursor lymphoid common,"מקור תאי T ותאי B של מערכת החיסון הנרכשת, ממנו מתפתחים",מערכת החיסון - עדית בן ברוך
אנטיגן ,Antigen,"מולקולה הנמצאת על גבי החיידק ומעוררת תגובה של מערכת החיסון , כמו כן, זה החלק אליו נקשר הנוגדן או שנקשר תא T.
A substance that reacts specifically with membrane immunoglobulins
expressed by B cells, antibodies secreted by plasma cells or the T lymphocyte receptor (TCR)
of T cells (when the antigen is presented by the MHC complex).",מערכת החיסון - עדית בן ברוך
אפיטופ,Epitope,"הדרטרמיננטה האנטיגנית. החלק מהאנטיגן (כ20 חומצאות אמינו) המעורר את התגובה החיסונית, ונקשר לתאי B או T.
 It is a part of an antigen, or a structural area on a complex antigen molecule, which can bind membrane immunoglobulins expressed by B cells, antibodies secreted by plasma cells or the T lymphocyte receptor (TCR) of T cells (when parts of the antigen are presented by MHC molecules).",מערכת החיסון - עדית בן ברוך
אנטיגן עצמי,Self antigen,An organism's body component that does not normally elicit an immune response (antibodies or T cells) against it.,
הצגת אנטיגן,Antigen presentation,"הצגת חלק מתוך ״רסיסי״ האניטגן, על ידי תא  מציג האנטיגן APC, בסביבת מולוקות  MHC",
אנטיגן ממקור פנימי,Endogenous antigen,"אנטיגן שנמצא בתוך התא כתוצאה של פטריה או חדירה ויראלית. חלקי האנטיגן מוצגים על מעטפת התא יחד עם  MHC class 1, לתאי T.",
אנטיגן ממקור חיצוני,Exogenous antigen," An antigen whose source is in antigens that entered antigen-presenting cells (APCs) from the outside, by endocytosis or phagocytosis. Exogenous antigens are processed into fragments, which are then presented by major histocompatibility complex (MHC class II molecules of professional antigen-presenting cells (APCs), to T cells.",
 מוות נקרוטי ( נקרוזה),,מצב של מוות תאים ברקמה באופן בלתי מתוכנן כתוצאה מעקה,מערכת החיסון - עדית בן ברוך
מוות אפופטוטי ( אפופטוזה),," מוות תאי מתוכנת, מוות מכוון של תאים.",מערכת החיסון - עדית בן ברוך
,selection Clonal,תהליך שבו נוצר קישור בין תאי B או T לאנטיגן,מערכת החיסון - עדית בן ברוך
הרשתית התוך-פלזמית,ER(Endoplasmic reticulum),"אברון הנמצא בציטופלזמה ומהווה מדור תאי מסועף מאוד בעל פעילויות ייחודיות. הרשתית התוך-פלזמית מצויה כמעט בכל התאים האיקריוטיים, אך אינה מצויה בתא דם אדום ובתא זרע. יש קשר בינה לבין הממברנה החיצונית של מעטפת הגרעין. הרשתית התוך-פלזמית פועלת בשיתוף פעולה עם הגולג'י. בנוסף, הרשתית התוך פלזמית לוקחת חלק בוויסות עוצמת הקשרים שבין תאי העצב, כלומר בניהול תהליכי הלמידה באדם.",מערכת החיסון - עדית בן ברוך
,immunoglobulin membrane,"הנוגדן הנמצא על פני הממברנה של תאי B, זה הרצפטור לאנטיגן על גבי תא B.",מערכת החיסון - עדית בן ברוך
,TCR,"הקולטן של תאי T. מורכב על פניו מרצפטורים הבנויים משתי שרשראות. אין מבנה של Y אך יש אזור קבוע ואזור וריאבילי כמו בתאי  B. לכל תא T יש על פניו עותקים רבים של הקולטן אך כל העותקים זהים וכולם מכירים אנטיגן אחד באופן ספציפי. השונות ביניהם נקבעת על ידי אזור הV של הרצפטור, כך שיש הרבה תאי T עם TCR אך האזור הV בהם שונה",מערכת החיסון - עדית בן ברוך
אקסוציטוזה ,,הוצאת חלקים של הפתוגן המפורק על ידי פאגוציט והצגתם לתא T ללמידה,מערכת החיסון - עדית בן ברוך
,Major Complex Histocompatibility (MHC),"המולקולות שמציגות /על גביהן מציג ה-APC  את החלקים מהפתוגן לתא T.
המולקולה אינה ספציפית לאנטיגן, ותמיד יוצאת לממברנה.",מערכת החיסון - עדית בן ברוך
,Interleukin 2 (IL2),אחד הציטוקינים החשובים ביותר שה-Th האקטיבי משחרר. פועל בחזרה על אותם תאים שהפרישו אותו וגורם להם להתרבות. כלומר יוצר clone בו כל תאי ה-T המכירים את האנטיגן. פעילות זה נקראת פעילות אוטוקרינית,מערכת החיסון - עדית בן ברוך
,Co-Stimulation,"הסיגנל נוצר על ידי קישור 2 מולקולות המביאות לגירוי של תאי ה-T, לדוגמה מולקולה  B7 ו- CD28. שני קישורים אלו מאקטבים את תא ה-Th, בלעדיהם כל התהליך אינו פרודוקטיבי",מערכת החיסון - עדית בן ברוך
תקשורת פָרָקרינית,,תקשורת בין תאי הפרשה לבין תאי מטרה סמוכים זה לזה באמצעות הנוזל הבין תאי,מערכת החיסון - עדית בן ברוך
תקשורת אוטוקרינית,,תקשורת כשתא ההפרשה הוא גם תא המטרה. התווך הוא קרום התא.,מערכת החיסון - עדית בן ברוך
פורליפרציה,,תהליך יצירת ״שבט״ של תא במערכת החיסון ,מערכת החיסון - עדית בן ברוך
תא מטרה,,הודבק על ידי וירוס ומציג את האנטיגן על MSC class1 ל-CTL (תא פעיל שיכול להרוג ומכיר רק את האנטיגן שיצר את הגירוי שלו). ,מערכת החיסון - עדית בן ברוך
תהליך אנרג׳י,,"כאשר וירוס פוגש CTL לפני שאוקטב, התא יפסיק לעבוד ולקבל סיגנלים נוספים, כלומר לא יוכל אחרי כן לעבור אקטיבזציה ופרוליפרציה",מערכת החיסון - עדית בן ברוך
אבולוציה מתכנסת,,כאשר יש לחצי סביבה על יצורים שוניפם והם מוצאים את אותו פתרון כדי להתמודד עם הסביבה,פיזיולוגיה 
הומואוסטזיס,Homeostasis,"הוא מצב שבו התנאים הפיזיקליים והכימיים השוררים בתוך האורגניזם נשמרים ברמה יציבה שמתאימה לפעילותו המיטבית, למרות שינויים שחלים בסביבתו החיצונית. כלומר, הגוף שומר על סביבה פנימית יציבה, למרות שהסביבה החיצונית משתנהמאפשר יכולת התאקלמות.",פיזיולוגיה 
רגולטור ,regulator,"עושה רגולציה לתכונה או מאפיין מסוים
אם בע״ח מסוים עושה רגולציה לתכונה מסוימת לא אומר שהוא בהכרח עושה לאחר",פיזיולוגיה 
קונפורמר,conformer,לא עושה רגולציה לתכונה או מאפיין מסוים,פיזיולוגיה 
,Thermoregulation,רגולוציה של טמפ הגוף,פיזיולוגיה 
אנדותרמיים ,Endothermic,מקביל את החום שלהם מבפנים(״דם חם״),פיזיולוגיה 
אקטותרמיים ,Ectothermic,מקבל את החום שלו מבחוץ (״דם קר״),פיזיולוגיה 
ייצור חום/ תרמוגנזה,Thermogenesis,"תהליך ייצור חום, מתבצע על ידי מטבוליזם ופעילות שרירים/רעד(העיקרי)",פיזיולוגיה 
ללא רעד (נון-שיברין),Nonshivering thermogenesis ,"בעל חיים יכול לאפשר ייצור חום במקום ייצור ATP תוך ניצול סוכר חום, בשיטה זו עושים שימוש הרבה יונקים קטנים.",פיזיולוגיה 
פויקילותרמיים ,poikilotherm,"בעלי חיים בעלי טמפ' גוף המשתנה עם הסביבה,",פיזיולוגיה 
הומותרמיים ,homeotherm,"בעלי חיים ששומרים על טמפ גוף קבועה, לדוגמא, האדם.",פיזיולוגיה 
היברנציה,,שנת חורף,פיזיולוגיה 
הסעה,convection,"מעבר של חום ע""י תנועה של אוויר או נוזל על גבי שטח",פיזיולוגיה 
הולכה,conduction,מעבר ישיר של חום בין עצמים שנמצאים במגע,פיזיולוגיה 
אידוי,evaporation,"איבוד חום מפני השטח ע""י איבוד מולקולות גז. השפעה מצננת",פיזיולוגיה 
מנגנון זרימה נגדית ,,קירור הדם לפני שהוא מגיע לקצוות כך בעצם איבוד חוף הגןף יורד,פיזיולוגיה 
מערכות הובלה ,,מערכות בגוף להובלת חמצן ופסולת לאזורים שונים בגוף,פיזיולוגיה 
סביבה חיצונית ,,"מערכת המקושרת לחוץ, לא בהכרח נמצאת  בשפה אלא מקושרת, לדוגמה מערכת העיכול.",פיזיולוגיה 
המערכת האנדורקינית ,,מערכת ויסות ההורמונים,פיזיולוגיה 
הלחתה,,"פעולה הפוכה לאידוי, קירור הגוף",פיזיולוגיה 
היפותלמוס,,"אזור במוח חולייתנים שנמצא בקדמת מוח הביניים, מתחת לתלמוס , אחראי על ויסות של תפקודים חיוניים רבים, ביניהם ההמואזיס",פיזיולוגיה 
,stimulus ,"טריגר, גירוי בעקבותיו תאים מפרישים הורמון ",פיזיולוגיה- המערכת האנדוריקינית
בלוטת ההיפופיזיס/ בלוטת יוֹתֶרֶת הַמּוֹחַ,Hypophysis, בלוטה קטנה היושבת בבסיס הגולגולת תפקידה הוא בעיקר הפרשה אנדוקרינית,פיזיולוגיה- המערכת האנדוריקינית
אדרנל,adrenal gland,שתי בלוטות אנדוקריניות הממוקמות כל אחת על המשטח העליון של הכליה.,פיזיולוגיה- המערכת האנדוריקינית
קורטיזול,,"הורמון סטרואידי ממשפחת הגלוקוקורטיקואידים (שעמו נמנים גם הקורטיזון והקורטיקוסטרון), שמופרש בכמות משמעותית יחסית להורמונים אחרים ממשפחה זו. מופרש מהאדרנל. השפעה:
השפעה על המטבוליזם בגוף.
1)עידוד עלייה ברמת הגלוקוז בדם והגברת גלוקונאוגנזה
2)עידוד בניית גליקוגן בכבד
3)סיוע לגוף להסתגל לאספקה לא רציפה של מזון, תוך שמירה על רמת גלוקוז בדם, בגבולות יציבים.
4) בזמן אירוע טראומטי, הקורטיזול משפיע על אופן תפקוד המוח: גורם להפסקת פעילות ההיפוקמפוס, ומגביר את פעילות האמיגדלה",פיזיולוגיה- המערכת האנדוריקינית
הורמון אדרנוקורטיקוטרופי,ACTH ,"מכונה גם הורמון הדחק, הוא פפטיד מופרש מההיפופיזה הקדמית, משפיע על בלוטת יותרת הכליה ועל הפרשת הורמונים קורטיקוסטרואידיים המעכבים בין היתר את מערכת החיסון. ה ACTH גורם בין השאר להפרשת אדרנלין וקורטיזול. במצב חירום (עקה או הלם) הגוף מפריש את ה-ACTH אל מחזור הדם, והוא משפיע על בלוטת יותרת הכליה וגורם להפרשת אדרנלין, קורטיזול ונוירואדרנלין",פיזיולוגיה- המערכת האנדוריקינית
הפרשה נוירואנדוקרינית,,"תהליך נוסף המאפשר שילוב בין מערכת העצבים למערכת האנדוקרינית. תא עצב שולח אקסון אשר מגיע לכלי דם קרוב.  מקצוות האקסונים האלו מופרשים פקטורים שתא העצב יצר, לכן מדובר בהורמון שמסתובב בכל הגוף אך מקורו לא מבלוטה אנדוקרינית אלא מעצב שיוצר תגובה דמויית תגובה הורמונלית.",פיזיולוגיה- המערכת האנדוריקינית
אוקסיטוצין ,,"הוא הורמון שמכווץ את הרחם בזמן לידה ומקל על הפרשת החלב בזמן הנקה. מכונה גם ""הורמון האהבה"". אוקסיטוצין מופרש אצל נשים וגברים בזמן אורגזמה. אוקסיטוצין משמש גם כמוליך עצבי (נוירוטרנסמיטר) שממלא תפקיד בקשרים חברתיים, ולפי מחקרים עדכניים, עשוי להשפיע על יצירת האמון הבין-אישי",פיזיולוגיה- המערכת האנדוריקינית
,median eminence,"חלק באונה האחורית של ההיפופיזה, בנוי מרשת נימים ומבצע את ההפרשה המאוזנת של ההרומונים באונה האחורית.",פיזיולוגיה- המערכת האנדוריקינית
הורמון מגרה זקיקים,FSH (Follicle Stimulating Hormone),"הורמון הממלא תפקיד מרכזי בתהליך הרבייה בבעלי חוליות. 
בזכר הפרשת ההורמון גורמת להופעת סימני מין משניים, חיונית ליצירת תאי הזרע באבוביות הזרע ומעודדת את התפתחותם של צינוריות זרע באשכים
בנקבה הפרשת ההורמון במהלך המחזור החודשי גורמת להתפתחות הזקיק הראשוני הנמצא בשחלה, וכן מעודדת את הפרשת ההורמון אסטרוגן מהזקיק הבשל. הפרשת האסטרוגן מובילה למגוון תהליכים פיזיולוגיים ביניהם - פרוליפרציה (התחלקות) של תאי רירית הרחם, הרחבת כלי הדם ברחם והרחבת תאי האפיתל בנרתיק.",פיזיולוגיה- המערכת האנדוריקינית
הורמון מחלמן,LH ,"מופרש מהחלק הקדמי של ההיפופיזה, מגרה ביוץ, יצירת גופיף צהוב, מגרה את השחלות לייצר פרוגסטרון ואת האשכים לייצר אנדרוגן. הורמון זה משתתף גם בהבשלת ביציות ותאי זרע.",פיזיולוגיה- המערכת האנדוריקינית
הורמון משחרר תירוטרופין,TSH ,"תפקידו לגרום לשחרור של ההורמון תירוטרופין (TSH) מיותרת המוח. התירוטרופין מופרש אל זרם הדם, במטרה להגיע לבלוטת התריס הממוקמת סביב קנה הנשימה, שם הוא מגרה שחרור של ההורמון תירוקסין, שלו פעולות פזיולוגיות רבות בתחום המטבוליזם של פחמימות, חלבונים ושומנים.",פיזיולוגיה- המערכת האנדוריקינית
הורמון גדילה,GH,"הורמון פפטידי המופרש מבלוטת יותרת המוח ותפקידו בין היתר לווסת ייצור חלבונים ולהמריץ צמיחת עצמות אצל ילדים ומתבגרים. הורמון הגדילה מופרש במהלך כל שנות החיים, כאשר לאחר גיל 21 יורדת הכמות המופרשת ממנו בכ-14% בכל עשור. מחסור בהורמון זה אצל ילדים יגרום לעצירת הגדילה, לקומה נמוכה ואף לגמדות.",פיזיולוגיה- המערכת האנדוריקינית
לפטין,,הורמון חלבוני המיוצר בתאי שומן וברקמות שומניות. משם זורם הלפטין במחזור הדם עד שהוא מגיע אל המוח. ההורמון ממלא תפקיד מרכזי בוויסות צריכת אנרגיה והוצאתה על ידי ויסות התיאבון וחילוף חומרים.,פיזיולוגיה- המערכת האנדוריקינית
הפרשה אנדוקרינית,,תא מפריש הורמון לזרם הדם ומשם מגיע לתאים עם רצפטורים מתאימים ,פיזיולוגיה- המערכת האנדוריקינית
הפרשה פאראקרינית,,תא מפריש הורמון ומיד מגיע לתאים עם רצפטורים מתאימים .,פיזיולוגיה- המערכת האנדוריקינית
הפרשה אוטוקרינית,,תא שקולט הורמונים שהוא עצמו מפריש,פיזיולוגיה- המערכת האנדוריקינית
שעון צירקאדי ,,"circa – בערך dian – יממה
השעון הביולוגי הוא באזור של 24 שעות אבל לא מדויק",פיזיולוגיה- המערכת האנדוריקינית
,SCN ( suprachiasmatic nucleus),האזור במוח שאחראי על השעון הביולוגי והתזמון שלו,פיזיולוגיה- המערכת האנדוריקינית
,,,פיזיולוגיה- מערכת העיקול
,,,פיזיולוגיה- מערכת העיקול
,,,פיזיולוגיה- מערכת העיקול
,,,פיזיולוגיה- מערכת העיקול
,,,פיזיולוגיה- מערכת העיקול
,,,פיזיולוגיה- מערכת העיקול
