מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,מי הוסיפ/ה,הערות
בחנים ותרגולים מהמודל,מהי מטרה אפשרית של FACS?,הפרדה של תאים פלורסנטיים מתאים לא פלורסנטיים,הפרדה של מולקולות פלורסנטיות מתאים לא פלורסנטיים,הפרדה של תאים פלורסנטיים ממולקולות לא פלורסנטיות,הפרדה של מולקולות פלורסנטיות ממולקולות לא פלורסנטיות,,,1,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמן את המשפט השגוי,צימוד של GFP לחלבון מאפשר לראות את המיקום התוך תאי של החלבון,"סימון בכמה סמנים פלואורוסנטיים בו""ז מצריך התחשבות באורך הגל הנפלט מכל סמן","לצורך סימון מרכיבים תוך תאיים על ידי נוגדנים, קודם יש צורך לחורר את הממברנה",נוגדנים מאפשרים לסמן רק מרכיבים חלבוניים של התא,,,4,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"לאחר הרצת דוגמת חלבון ב- SDS-PAGE סטודנט רצה לבצע צביעת Coomassie, לאחר הוספת הריאגנט לא נמצא שום חלבון. מה יכולה להיות הסיבה?",הנוגדן שבו השתמש לא זיהה את החלבון,"ההגברה של הנוגדן הראשוני לא היתה חזקה מספיק, יש להשתמש בנוגדן שניוני",הסטודנט חיבר את מקור המתח בצורה הפוכה,הסטודנט השתמש בממברנה לא מתאימה,,,3,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמן את המשפט השגוי,"ב- immunoprecipitation, אם הנוגדן נקשר לשני חלבונים בגדלים שונים, לאחר הרצת SDS-PAGE מחזר וצביעת Coomassie נראה לפחות 4 פסים (בנדים)",בנוגדנים נמצא איזור קושר האנטיגן בצד ה- N טרמינלי,ב- SDS-PAGE החלבונים הגדולים רצים מהר יותר מהכיוון שהם יותר שליליים מחלבונים קטנים,ה- SDS פורש את החלבון ומצפה אותו במטען שלילי,,,3,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזו שיטה מתאימה להשגת המטרה: בדיקת נוכחות ומיקום חלבון ברקמה?,FACS,immunohistochemistry,immunoprecipitation,,,,2,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזו שיטה מתאימה להשגת המטרה: בידוד חלבון מסוים מתוך תערובת חלבונים?,FACS,immunohistochemistry,immunoprecipitation,,,,3,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזו שיטה מתאימה להשגת המטרה: הפרדת תאים?,FACS,immunohistochemistry,immunoprecipitation,,,,1,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,לפניכם תוצאות ניסוי immunoprecipitation. סמנו את המשפט הנכון:,בניסוי ככל הנראה זוהה רק חלבון מטרה אחד,"הפסים שהתקבלו מייצגים Protein A, נוגדן וחלבון מטרה","בניסוי זוהו 3 חלבוני מטרה ע""י הנוגדן","הפסים שהתקבלו מייצגים נוגדן ראשוני, נוגדן שניוני וחלבון מטרה",,,1,שיטות אימוניות,FALSE,https://i.imgur.com/HC4A8Qe.png,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"מה יתרון של שימוש בנוגדן שניוני מסומן וראשוני ל- immunoblotting, במקום שימוש בנוגדן ראשוני מסומן בלבד?",הרגישות מוגברת,לא תהיה שום צביעה אם רק הנוגדן הראשוני מסומן,הספציפיות מוגברת,ירידה בצביעת רקע,,,1,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה נכון לגבי Western blot?,הנוגדן הראשוני נקשר לנוגדן השניוני והנוגדן השניוני נקשר לחלבון המטרה,הנוגדן הראשוני נקשר לחלבון המטרה והנוגדן השניוני נקשר לממברנות הניטרוצלולוז,הנוגדן הראשוני נקשר לממברנת הניטרוצלולוז והנוגדן השניוני נקשר לחלבון המטרה,הנוגדן הראשוני נקשר לחלבון המטרה והנוגדן השניוני נקשר לנוגדן הראשוני,,,4,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,שני סטודנטים הריצו דוגמה זהה ב- SDS-PAGE וקיבלו את התוצאות הבאות. מה יכול להיות הסבר אפשרי?,סטודנט א' לא השתמש בחומר מחזר,סטודנט ב' לא השתמש בנוגדן ראשוני,סטודנט א' ביצע צביעת Coomassie וסטודנט ב' ביצע Immunobolt,סטודנט א' ביצע Immunoblot וסטודנט ב' ביצע צביעת Coomassie,,,3,שיטות אימוניות,FALSE,https://i.imgur.com/NGxRbC0.png,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"מה אופייני לקצה ה- ""פלוס"" של סיבי אקטין פולריים?",קישור ל- GTP,קישור ל- ATP,קישור ל- ADP,קישור לקבוצת פוספט,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזה סיבים יש לסמן בצבע פלורוסנטי כדי לעקוב אחרי ממברנת התא?,אקטין,מיקרוטובולי,intermediate filaments,nuclear lamina,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה מאפיין סיבים מסוג intermediate filaments?,חזקים ולא גמישים,חזקים ובעלי גמישות גבוהה,לא חזקים אך גמישים,,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה קורה למבנה ה- nuclear lamina בזמן מיטוזה?,מתפרק בתהליך הדורש ATP וזרחון,נשאר ללא שינוי,מתפרק בתהליך שלא דורש ATP,"מתפרק ע""י הפרוטאזום",,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה לא תפקידו של סיב האקטין?,מחזק את גרעין התא,במיטוזה בשלב הציטוקינזה יוצר ביחד עם מיוזין את ה-contractile ring,נותן צורה לתא,מאפשר את תנועת התאים,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,לאיזה קצה של סיב האקטין (+ או -) יקשרו מונומרים טעונים ב- ATP?,הם יכולים להקשר לשני הקצוות אך יש העדפה לקישור לקצה הפלוס,הם יכולים להקשר לשני הקצוות אך יש העדפה לקישור הקצה המינוס,הם יכולים להקשר רק לקצה הפלוס,הם יכולים להקשר רק לקצה המינוס,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה יהיה גורלו של סיב אקטין אם ריכוז המונומרים באזורים של שני הקצוות הוא גבוה מהריכוז הקריטי הדרוש לבניה של קצה המינוס (-)?,הסיב יתקצר בשני הקצוות,הסיב יתארך בשני הקצוות,הסיב יתקצר בקצה הפלוס ויתארך בקצה המינוס,הסיב יתקצר בקצה המינוס ויתארך בקצה הפלוס,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,כיצד מתאפשרת תנועה של התא לכיוון מסויים?,פירוק של סיבי אקטין בצד הפלוס והתארכות שלהם בצד המינוס,פירוק של סיבי אקטין בשני הקצוות,פירוק של סיבי אקטין בצד המינוס והתארכות שלהם בצד הפלוס,התארכות של סיבי intermediate filaments,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,כיצד מסודרים סיבי האקטין בפילופודיום?,הם מסודרים בצורת שתי וערב,הם מפוזרים בכל הכיוונים,הם מסודרים באותו כיוון כאשר קצה הפלוס פונה לכיוון קצה הפילופודיום,הם מסודרים באותו כיוון כאשר קצה המינוס פונה לכיוון קצה הפילופודיום,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,כיצד מתאפשר כיווץ תאי שריר?,פולימריזציה של סיבי אקטין בכיוון קצה הפלוס,תנועה של חלבוני myosin II על גבי סיבי האקטין לכיוון קצוות המינוס שלהם,תנועה של חלבוני myosin II על גבי סיבי האקטין לכיוון קצוות הפלוס שלהם,חלבוני myosin I גורמים לסיבי האקטין לנוע,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"בעקבות מוטציה בחלבון X, בזמן מיטוזה הגרעין לא התפרק ולכן התאים מתו. חלבון X הוא:",אקטין,מיקרוטובולי,intermediate filaments,קולגן,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"מה סביר שיקרה כאשר ריכוז המונומרים של אקטין נמצא בין שני הריכוזים הקריטים (בין הקצה ה""+"" וה-""-"")?",תנועה של התא לכיוון מסוים,צורת התא לא תשתנה,התא יתכנס למיטוזה,כיווץ שרירי,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"יחסית לסיבים אחרים של שלד התא, intermediate filaments הם:",פחות גמישים ויותר חזקים,יותר גמישים ופחות חזקים,יותר גמישים ויותר חזקים,פחות גמישים ופחות חזקים,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מבני דימר של intermediate filaments הוא ברובו:,alpha-helix,beta-sheet,coiled-coil,אין לדימר מבנה מוגדר,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה מהבאים משותף ל- intermediate filaments ול- microtubules?,שני סוגי הסיבים מאופיין בפולריות,שני סוגי הסיבים מעורבים בתנועה תאית,ממוקמים בעיקר קרוב לממברנת התא,אף אחת מהתשובות אינה נכונה,,,4,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה יקרה לסיב המיקרוטובולי אם הוספת מולקולות הטובולין מתרחשת בקצב מהיר יותר מקצב ההידרוזליזה של ה- GTP?,יווצר GDP-Cap שיגרום לאי יציבות הסיב ולהתקצרותו,יווצר GTP-Cap אשר ישאיר את הסיב באורך הקבוע,יווצר GTP-Cap שיגרום ליציבות הסיב ולגדילתו,יווצר GDP-Cap שיגרום ליציבות הסיב ולגדילתו,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סדר את סיבי שלד התא לפי העובי:,Actin>Microtubules>Intermediate filaments,Microtubules>Intermediate filaments>Actin,Intermediate filaments>Actin>Microtubules,לא קיים הבדל בעובי הסיבים,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה תפקיד ה- Bunding protein הנקשר לאקטין?,ייצוב המבנה הפולימרי של האקטין,חיבור סיבי האקטין במקביל,מהווה את נקודת ההתחלה של בניית הסיב,חיבור סיבי האקטין בניצב,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה מאפיין את סיבי המיקרוטובולי?,נמצאים בתוך הגרעין,נמצאים בציטופלסמה,נמצאים הן בגרעין והן בציטופלסמה,בנויים מתת-יחידות בעלות מבנה סיבי,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מי מהמשפטים הבאים אינו נכון?,"לצורך הרכבת המיקוטובולי, GTP נקשר לבטא טובולין ועובר הידרוליזה ל-GDP",GDP-capped microtubules אינם יציבים ומאבדים תת-יחידות מהקצה החיובי (plus end),"הרכבה/פירוק של הקצה השלילי (-) של המיקרוטובולי מעוכבת ע""י הצנטרוזום",יציבת המיקרוטובולי מעידה כי ההרכבה של הפילמנטים נעשית בקצב מהיר יותר מפירוקם,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,kinesins הם:,חלבונים המזרחנים חלבונים אחרים,חלבוני מנוע המעבירים מטען מקצה פלוס של המיקרוטובולי לקצה המינוס,חלבון בעל מבנה של שני ראשים הדורש השקעת ATP לפעילותו,חלבונים המסייעים בבניית המיקרוטובולי,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה מאפיין חלבונים מוטוריים (motor proteins)?,יכולים לנוע לשני הכיוונים על אותו סיב המיקרוטובולי,חלבון ה-kinesin המבודד מאקסונים נע לעבר הקצה השלילי של המיקרוטובולי,חלבון ה- dynein נע לעבר הצנטרוזום,תנועת החלבונים המוטוריים אינה דורשת אנרגיה,,,3,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה גורם ליציבות סיבי המיקרוטובולי?,חלבוני ה- capping,גדילת הצנטרוזום,היווצרות GTP-Cap,הוספת מולקולות טובולין בקצה (-) של הסיב,תשובות א וג,תשובות א וב,5,ציטוסקלטון,TRUE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזה מהמשפטים הבאים אינו נכון לגבי מיקרוטובולי?,בניית הסיב דורשת אנרגיה,בניית הסיב לא דורשת אנרגיה,"לסיב יש כיווניות המוכתבת ע""י מיקום האלפא וביתא טובולין בקצוות","סיבי מיקרוטובולי מאופיינים ע""י חוסר יציבות דינאמית",,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מהי היחידה הפונקציונאלית המרכיבה את המיקרוטובולי?,דימר אלפא ובטא,"טרימר אלפא, בטא וגמא",אלפא בלבד,בטא בלבד,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מהם השלבים בהתקדמות motor protein?,"הוספת ATP, הידרוליזת ATP, הסרת ADP","זרחון, הוספת יוביקוויטין, הסרת יוביקוויטין","הוספת ATP, הידרוליזת ATP, הוספת פוספט ל- ADP לקבלת ATP","הוספת ATP, הידרוליזת ATP, הידרוליזת ADP, הסרת AMP",,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזה מהמשפטים הבאים אינו נכון לגבי מיקרוטובולי (microtubules)?,סיבי מיקרוטובולי דרושים למיטוזה,"מיקרוטובולי הוא מבנה העשוי מ- 13 פרוטופילמנטים לינארים, המורכבים מתת יחידות אלפא ובטא טובולין לראש זנב",מיקרוטובולי הוא מבנה פולרי,"GTP-cap של הקצה (+) של סיב מיקרוטובולי, מאפשר הידרוליזה מהירה של הסיב",,,4,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,כמה מולקולות של חלבון גלובולרי ממוצע יכולה להכיל וזיקולה ממוצעת?,2x10^4,2x10^6,2x10^5,2x10^2,,,4,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה נכון לגבי המבנה המיקרוטובולי והצנטרוזום בתא?,סיב מיקרוטובולי מורכב מתת יחידות אלפא ובטא טובולין ומחובר לצנטרוזום בעזרת גמא טובולין,סיב מיקרוטובולי מחובר בקצה המינוס לצנטרוזום אחד ובקצה הפלוס לצנטרוזום שני,סיב מיקרוטובולי בנוי מיחידות בטא וגמא טובולין ומחובר לצנטרוזום בקצה המינוס,בתוך הצנטרוזום יש שני צנטריולים אליהם מחוברים המיקרוטובולי,,,1,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,איזה מהמשפטים הבאים הוא הגורם להתכווצות של תא שריר לאחר קבלת אות מתא עצב?,"עליה בריכוז Ca2+ בציטוזול, שגורם לקישור של חלבונים לאקטין, אשר מעכבים את הקישור של מיוזין","ירידה בריכוז Ca2+ בציטוזול, שגורם לקישור של חלבונים לאקטין, אשר מעכבים את הקישור של מיוזין","ירידה בריכוז Ca2+ בציטוזול, שגורם לדיסוציאציה של חלבונים מאקטין, אשר מעכבים את הקישור של מיוזין","עליה בריכוז Ca2+ בציטוזול, שגורם לדיסוציאציה של חלבונים מאקטין, אשר מעכבים את הקישור של מיוזין",,,4,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה מייחד את סיבי המיקרוטובולי המצויים בתאי עצב?,מדובר בסיב מיקרוטובולי יחיד ארוך אשר המגיע מהצנטרוזום עד קצה האקסון. אורך שיכול להגיע במקרים מסוימים לעשרות סנטימטרים.,"סיב המיקרוטובולי הראשון יצא מהצנטרוזום, אחריו חלבונים ספציפיים יאפשרו יצירה של סיב מיקרוטובולי נוסף וחיבורו אל הסיב הקודם. בצורה כזו מספר סיבי מיקרוטובולי יצרו את המסלול עד קצה האקסון.",מיקרוטובולי שמיוצר כולו החל מהצנטרוזום ולאחר מכן חלבונים ספציפים מעבירים את היחידות השונות ליצירת סיב ארוך המורכב ממספר מיקרוטובולי נפרדים.,אין יצירה של מיקרוטובולי בצנטרוזום במקרה של תאי עצב וזאת מכיוון שהצנטרוזום לא מאפשר יצירה של מיקרוטובולי ארוך דיו על מנת להגיע לקצה האקסון.,,,2,ציטוסקלטון,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,תהליך הרכבה של intermediate filaments,מאופיין בקישור קוולנטי של המונומרים,מתרחש בעקבות פוספורילציה,מתרחש בעקבות דה-פוספורילציה,א+ב נכונים,,,3,ציטוסקלטון,TRUE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,"מהו תפקידו של Signal recognition particle) SRP) ?

",תווך בין תת היחידות של הריבוזום,במהלך התרגום ER- קישור ריבוזום ל,זיהוי תת היחידה של הפוליזום,לגולג'י ER- זיהוי של וזיקולות שעוברות מה,,,2,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,בחלק מהחלבונים המתורגמים על גבי ה-  ER קיים רצף  Stop transfer sequence בנוסף לרצף ה Signal peptide מהו תפקידו של רצף זה?,מאפשר יצירת חלבונים מופרשים פעילים.,מאפשר קבלת חלבון חוצה ממברנה,מפסיק את העברת רצף החלבון מהריבוזום לציטופלסמה,נקשר לתת היחידה של הריבוזום וגורם להפסקת התרגום,,,2,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"חוקר הפריד הומוגנט של תאים ע""י צנטריפוגה במהירות של 100,000xg וקיבל משקע  ונוזל עליון. החוקר טיפל בכל אחת משתי המבחנות בטיפול המסיר מעל פני הממברנות את כל המרכיבים שאינם קשורים ישירות לממברנה . כיצד ישתנה התרגום במבחנות הללו לעומת מבחנות שלא טופלו?

",התרגום במבחנה עם הנוזל העליון ירד ואילו במבחנה עם המישקע לא יהיה שינוי,התרגום במבחנה עם המשקע ירד ואילו בזו עם הנוזל העליון לא יהיה שינוי,התרגום ירד בשתי המבחנות,התרגום יעלה בשתי המבחנות,,,2,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"בתאים עם  מוטציה ב signal peptidaseאשר מעכבת את פעילותו , היכן ימצא חלבון המיועד להפרשה? 

",החלבון ימצא בעיקר בציטוזול,החלבון ימצא בעיקר במדיום החוץ תאי,החלבון ימצא בעיקר בחלל הפנימי (Lumen) של הגולג'י,החלבון ימצא בעיקר על גבי הממברנה הפלסמתית וה ER,,,4,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"למה תגרום מוטציה הגורמת ל SRP להקשר באופן לא הפיך ל signal peptide?

",החלבון יתורגם אך ימצא בציטוזול,"מכיון שהרצף נחתך על פפטיטאז, לא תהיה השפעה על כמות החלבון",החלבון השלם לא יתורגם כלל,החלבון יתורגם בעודף,,,3,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"בחלבון שלפניך בציור, למה תגרום הסרת האיזור stop transfer?

",הפיכתו מחלבון Type I ל Type II,הפיכתו מחלבון Type II ל Multi-pass,הפיכתו מחלבון Type II ל Type I,הפיכתו מחלבון Type I לחלבון מופרש,,,4,ER,FALSE,https://i.imgur.com/u8Ym1od.png,טל,בוחן 1
בחנים ותרגולים מהמודל,"מה הוא פוליזום?

",אנזים המזרז ביקוע של פוליסכריד לקבלת מונוסכרידים,מבנה רב חלבוני המבצע הוספה של פוספטים ונמצא בגולג'י,אוסף צ'פרונים האחראיים על ביקוע קשרי S-S ונמצאים בציטופלסמה,אוסף של ריבוזומים על גבי גדיל mRNA בודד,,,4,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"מה יקרה במידה ובתחילת סינתזת החלבון יסונתז רצף ה – Signal peptide  ?

",המשך הסינתזה תהייה על גבי ה – ER.,המשך הסינתזה תהייה בציטופלסמה.,רצף הידרופובי זה יהווה סיגנל לסיום הסינתזה.,רצף הידרופילי זה יהווה סיגנל לכך שתוצר הסינתזה יהיה חלבון ציטופלסמטי.,,,1,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"תהליך סינתזת החלבונים על גבי ה –ER  בתא מתבצע הודות לקיומם של  חלבונים מתווכים שונים. בתהליך זה SRP הינו:

",Single reproduction peptide,Synthesis repeat protein,S-S relay protein,Signal recognition particle,,,4,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"בתהליך יצירת חלבונים ממברנליים החוצים את הממברנה פעם אחת בלבד, מצוי על גבי החלבון המסונתז רצף חומצות אמינו הנקרא STOP TRANSFER SEQUENCE. במקרה זה ניתן לומר כי:

",תמיד הקצה האמיני ( NH2 ) פונה לכוון הציטופלסמה.,תמיד הקצה האמיני ( NH2 ) פונה לכוון חלל ה – ER .,"הקצה אמיני ( NH2 ) פונה לכוון חלל ה – ER , או לכוון הציטופלסמה, תלוי בחלבון.","סינתזת החלבון תפסק, ולכן לא יתקבל חלבון.",,,2,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"signal peptidase הינו אנזים המבצע חיתוך פרוטאוליטי של חלבונים שעוברים טרנסלוקציה לER. על מי פועל אנזים?

",רק על חלבון שיופרש אל מחוץ לתא,רק על חלבון ממברנלי,על חלבונים ממברנליים מסוימים,על חלבונים ממברנליים וחלבונים מופרשים,,,4,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"במה שונה start transfer sequence מleader sequence -?

",אינו מזוהה על ידי SRP,אינו הידרופובי,אינו נחתך על ידי signal peptidase,נתקע בתעלת הטרנסלוקציה ותוקע את המשך כניסת החלבון ל-ER,,,3,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"קומפלקס ה-SRP  אינו מכיל:

",כיס שקושר את ה–signal peptide,אזור שאחראי לעצירת התרגום,אתר לקישור רצפטור ל-SRP ו-GTPase,mRNA שמחבר את הקומפלקס,,,4,ER,FALSE,,טל,בוחן 1
בחנים ותרגולים מהמודל,"אילו מבין השלבים הבאים בתרגום החלבון דורש אנרגיה?

",קישור ה SRP ל signal peptide,מעבר החלבון המתהווה אל תוך חלל ה ER,פירוק הקומפלקס החלבוני שקושר את הריבוזום ל ER,קישור ה SRP לרצפטור על גבי ה ER,,,3,ER,FALSE,,טל,בוחן 1
